ID в ИС ГТИБД,Название,Название (англ.),Тип,Адрес (ручной),Телефоны,Сайт,Электронная почта,Доступно для людей с ограниченными возможностями,ОГРН,ИНН,Координаты
4323,"Детский драматический театр ""У Нарвских ворот""","Children's Drama Theatre ""At Narva Gates""",Гос. Городское учреждение,"198095, Санкт-Петербург, ул. Зои Космодемьянской, д. 3",+7 (812) 786-51-48,"Www.teatrlutz.ru, https://vk.com/public61223761",Teatr_lutz@mail.ru,Нет,1037811007827,7805026935,"59.893177,30.272021"
4325,"Детский Музыкальный Театр ""Время"" имени Виктора Резникова","Viktor Reznikov Children's Theatre ""Vremia""",Некоммерческая организация,"198303, Санкт-Петербург, пр. Стачек, 105, корп. 1",+7 (812) 758-36-01,Https://vk.com/reznikov_dmt,Theatre@radiorecord.ru,Нет,1037811021830,7805033690,"59.855109,30.240571"
4326,"Детский музыкальный театр ""Зазеркалье""","""Zazerkalye"" State Musical Theatre for Children",Гос. Городское учреждение,"191002, Санкт-Петербург, ул. Рубинштейна, 13",+7(812)7124393; +7 (812) 712-50-00,Www.zazerkal.spb.ru,"Zazerkalbilet@mail.ru, zazerkal-spb@mail.ru",Нет,1037843024603,7813046484,"59.929335,30.34394"
4327,"Драматический театр ""Комедианты""","""Komedianty"" Drama Theatre",Государственное областное учреждение,"191040, Санкт-Петербург, Лиговский пр., д.44","+7(812)7648114, +7(812)5724790",Www.komedianty.com,Komedianty.spb@gmail.com,Нет,1037843001536,7815000301,"59.925881,30.359859"
4328,"Драматический театр ""На Васильевском""",Theatre on Vasilievsky Island,Государственное областное учреждение,"199178, Санкт-Петербург, Средний пр., В.О., д.48","+7(812)323-02-84, +7 (812) 321-59-96",Www.teatrvo.ru,Teatr_satiry@mail.ru,Нет,1037800044490,7801032078,"59.9422,30.243877"
4329,"Драматический театр ""На Литейном""",State Dramatic Theatre on Liteyny,Государственное областное учреждение,"191104, Санкт-Петербург, Литейный пр., 51","+7(812)2735335, +7(812)273-78-94",Www.naliteinom.ru,Teater.naliteinom@yandex.ru,Нет,1027809231691,7825337939,"59.937116,30.346923"
4330,Интерьерный театр,Interior Theatre,Негосударственное учреждение,"191025, Санкт-Петербург, Невский пр., д.104",+7(812)2731454,Www.spb-ith.ru,Info@spb-ith.ru,Нет,1117847673811,7808027415,"59.931765,30.356768"
4331,"Камерный музыкальный театр ""Санктъ-Петербургъ Опера""","""St. Petersburg Opera"" Chamber Music Theatre",Гос. Городское бюджетное учреждение,"190000, Санкт-Петербург, Галерная ул, д.33","+7 (812) 312-39-82, +7 (812) 314-22-83",Www.spbopera.ru,Spboperainfo@mail.ru,Да,1027810322605,7812049482,"59.932824,30.292656"
4332,Камерный театр Малыщицкого,Malyshchitsky Chamber Theatre,Негосударственное учреждение,"191014, Санкт-Петербург, ул. Восстания, д.41",+7(812)5798836;,Www.vmtheatre.ru,Mail@vmtheatre.ru,Нет,1037843130610,7803051460,"59.939879,30.360856"
4333,"Клоун-мим-театр ""Мимигранты""","""Mimigrants"" Clown-Mime Theatre",Гос. Городское учреждение,"199106, Санкт-Петербург, Большой пр. В.О., 83, (Дворец культуры им. С.М. Кирова)","+7(812)678-96-01, +7(931)390-20-05",Www.mimigrants.ru,"Mimigrants@yandex.ru, pr-mim@mail.ru",Нет,1027810349710,7805007756,"59.913532,30.282118"
4335,"Музыкальный театр ""Карамболь""",Musical theatre 'Karambol',Гос. Городское учреждение,"190103, Санкт-Петербург, Рижский пр., д.3, лит. Л",+7 (812) 575-21-42;+7 (812) 575-12-44,Www.teatrkarambol.ru,Teatr-karambol@yandex.ru,Нет,1027810302563,7826673877,"59.914024,30.294803"
4336,"Новый театр ""АЛЕКО""","New Theatre ""ALEKO""",Негосударственное учреждение,"196158, Санкт-Петербург, пр. Юрия Гагарина, д.42",+7 (812) 727-60-00,Www.teatr-aleko.ru,"9394243@gmail.com - худ рук., sekretova@teatr-aleko.ru - главный администратор",Нет,1097800001970,784101001,"59.840646,30.339862"
4337,Санкт-Петербургский академический театр имени Ленсовета,Saint-Petersburg Lensoviet Theatre,Гос. Городское учреждение,"191025, Санкт-Петербург, Владимирский пр., 12","+7(812)713-21-91 - касса, +7(812) 712-48-16 - билетный стол",Www.lensov-theatre.spb.ru,Lensov@lensov-theatre.spb.ru,Нет,1037843030202,7808045220,"59.930074,30.348414"
4338,Санкт-Петербургский Большой театр кукол,Saint-Petersburg Big Theatre of Puppets,Гос. Городское учреждение,"191014, Санкт-Петербург, ул. Некрасова, д.10",+7(812)273-66-72; +7(812)272-82-15,Www.puppets.ru,Btkpuppets@gmail.com,Нет,1037843042830,7803007447,"59.939059,30.352052"
4339,Санкт-Петербургский государственный академический Театр балета имени Леонида Якобсона,Leonid Jacobson State Academic Ballet Theatre,Гос. Городское учреждение,"191014, Санкт-Петербург, ул. Маяковского, д.15",+7(812)273-19-97; 7 (812) 579-16-72,Www.yacobsonballet.ru,Office@yacobsonballet.ru,Нет,1037843130280,7803059741,"59.937774,30.356086"
4340,Санкт-Петербургский государственный академический театр оперы и балета им. М.П. Мусоргского - Михайловский театр,Mikhailovsky Opera and Ballet Theatre,Гос. Городское учреждение,"191011, Санкт-Петербург, Пл. Искусств, д.1",+7(812)5954305; +7(812)5954319,Www.mikhailovsky.ru,Office@mikhailovsky.ru,Нет,1027809224607,7830001525,"59.937756,30.329567"
4341,"Санкт-Петербургский государственный детский драматический театр ""На Неве""","Children's Drama Theatre ""On the Neva""",Гос. Городское учреждение,"190005, Санкт-Петербург, Измайловский пр., д.8, лит.А. (вход с Советского переулка)","+7(812) 575-04-21, +7 (812) 251-20-06","Https://tnaneve.ru/, https://vk.com/tnaneve",Naneve@mail.ru,Нет,1027810234506,7825330764,"59.914047,30.309176"
4342,Санкт-Петербургское государственное бюджетное учреждение культуры «Кукольный театр сказки»,Puppet Fairy Tale Theatre,Гос. Городское бюджетное учреждение культуры,"196084, Санкт-Петербург, Московский пр., д.121",+7(812)388-00-31; +7(812) 387-54-75,Www.teatrskazki.spb.ru,Teatrskazki.1@yandex.ru,Да,1037821032182,7810204157,"59.887431,30.318428"
4343,"Санкт-Петербургский государственный музыкально-драматический театр ""Буфф""",Buff Theatre,Гос. Городское учреждение,"195112, Санкт-Петербург, Заневский пр., д.26","8 (812) 573-95-95, 8 (921) 597-58-99",Http://buffspb.ru/,Buff@theatre-buff.spb.ru,Нет,1037825029857,7811019566,"59.931111,30.418572"
4344,"Санкт-Петербургский государственный театр ""Мастерская""","St. Petersburg Theatre ""Workshop""",Гос. Городское учреждение,"193079, Санкт-Петербург, Народная ул., д.1","+7(812) 922 21 42, (812) 446 67 67",Www.vteatrekozlov.net,Info@vteatrekozlov.net,Нет,1107800005389,7801269817,"59.877859,30.459841"
4345,Санкт-Петербургский государственный театр марионеток им. Е.С. Деммени,Demmeni Marionette Theatre,Гос. Городское учреждение,"191011, Санкт-Петербург, Невский пр., д.52",+7(812)5711900; +7(812)5712156; +7 (812) 310-58-79,Www.demmeni.ru,Demmeni_info@mail.ru,Нет,1037843044491,7825337368,"59.934344,30.335927"
4346,Санкт-Петербургский государственный театр музыкальной комедии,Musical Comedy Theatre,Гос. Городское учреждение,"191186, Санкт-Петербург, Итальянская ул, 13","(812) 570-58-90, 570-53-16",Https://muzcomedy.ru/,Ticket@muzcomedy.spb.ru,Нет,1037843033436,7825334649,"59.935913,30.333017"
4347,Санкт-Петербургский детский ледовый театр,Saint Petersburg State Ice Theatre,Гос. Городское учреждение,"192007, Санкт-Петербург, Лиговский пр., 148","+7 812 600 23 36, +7 (812)335-75-75",Ice-theater.ru,"Info@ice-theater.ru, INFO@ALLOSHOW.RU",Нет,1027808005477,7816088387,"59.913063,30.349887"
4348,Санкт-Петербургский Молодежный театр на Фонтанке,Youth Theatre on the Fontanka,Гос. Городское учреждение,"190005, Санкт-Петербург, наб. Р. Фонтанки, 114",+7(812)3166564; +7(812)5761985,Www.mtfontanka.spb.ru,Office@mtfontanka.spb.ru,Нет,1037851018688,7809010012,"59.918963,30.312266"
4349,"Санкт-Петербургский Молодежный театр на Фонтанке. Филиал ""Театр Дождей""","Youth Theatre ""Theatre of Rains"" (""Teatr Dozhdey"")",Гос. Городское учреждение,"190005, Санкт-Петербург, наб. Реки Фонтанки, д.130",+7(812)2514190; +7(911) 997-57-10,Www.rains.spb.ru,Administrator@rains.spb.ru,Нет,5067847375140,7809063222,"59.917583,30.304531"
4351,"Санкт-Петербургский театр ""За Черной речкой""","Theatre ""Za Chornoy Rechkoi""",Автономное некоммерческое учреждение,"197348, Санкт-Петербург, Богатырский пр., д.4",+7(812)6433904,Www.teatrzcr.ru,Teatr-zcr@mail.ru,Нет,1037832053984,7814150760,"59.99926,30.29112"
4352,"Санкт-Петербургский театр ""Русская антреприза"" имени Андрея Миронова","Andrey Mironov Theatre ""Russian Enterprise""",Негосударственное учреждение,"197022, Санкт-Петербург, Большой пр. П.С., д.75/35",+7(812)3461679,Www.mironov-theatre.ru,Mail@mironov-theatre.ru,Нет,1027809210285,7808039530,"59.937774,30.235433"
4353,"Санкт-Петербургский театр ""Особняк""","Theatre ""Mansion"" (""Osobnyak"")",Негосударственное учреждение,"197022, Санкт-Петербург, Каменноостровский пр., д.55",+7 (911) 274-90-85,Osobnjak.ru https://vk.com/osobnjak,Teatr@osobnjak.ru,Нет,1117847275622,7813021391,"59.971564,30.306849"
4354,"Санкт-Петербургский театр ""Русский балет""","Theatre ""Russian Ballet""",Негосударственное учреждение,"191028, Санкт-Петербург, Литейный пр., 11 (арка, 3ий двор)",+7(812)5790226; +7(812)9663776;,Сайты не работают https://vk.com/rusbalet,Balet-spb@mail.ru,Нет,1027809181553,7825101933,"59.94335,30.343437"
4355,"Санкт-Петербургский театр ""Суббота""","Theatre ""Saturday""",Гос. Городское учреждение,"191119, Санкт-Петербург, ул. Звенигородская, д.30",+7(812)7648202,Www.teatr-subbota.ru,Admin@teatr-subbota.ru,Нет,1037843043336,7825332987,"59.917506,30.342638"
4356,Санкт-Петербургский театр балета Константина Тачкина,Konstantin Tachkin St. Petersburg Ballet Theatre,Негосударственное учреждение,"191028, Санкт-Петербург, Литейный пр., д.20",+7(921) 643 4135,Www.spbt.ru,Headoffice@spbt.ru,Нет,1027809191277,7825052161,"59.943575,30.349043"
4357,"Санкт-Петербургский театр пластики рук ""Hand Made""",St. Petersburg HandMade Theatre,Автономное некоммерческое учреждение,Нет своей сцены,+7(905)2061338;,Www.handmadetheatre.ru,Hmtheatre@gmail.com,Нет,1127746123658,7705978480,"59.938536,30.391084"
4358,Санкт-Петербургский Театр Поколений им. З.Я. Корогодского,St.Petersburg Theatre of Generations,Негосударственное учреждение,"197136, Санкт-Петербург, Лахтинская ул., д.25, лит. А",Главный администратор +7 911 245-85-90 Арина Малашенко,Https://teatr-pokoleniy.com/ https://vk.com/club77690,Teatr.pokoleniy@gmail.com,Нет,1057810068678,7811313656,"59.964169,30.296824"
4359,Санкт-Петербургский театральный центр на Коломенской,St. Petersburg Theatre Centre on Kolomenskaya street,Негосударственное учреждение,"191119, Санкт-Петербург, Коломенская ул., д.43",+7(812)380-83-72; +7 (812) 380-83-74,Www.privatetheatre.ru,Tz-teater@mail.ru,Нет,None,None,"59.920799,30.349591"
4360,Такой театр,"Takoy Theatre (""A theatre like that"")",Автономная некоммерческая организация,"196084, Санкт-Петербург, , Московский проспект 107 к.5, 4 этаж. ""Площадка Скороход""","+7 952 229 82 00, +7 911 900 12 16",Http://takoy-teatr.ru https://vk.com/takoyteatr,Takojteatr@yandex.ru,Нет,1027810275261,7826125574,"60.009462,30.246267"
4361,"Театр ""Кукольный формат""",KUKFO Theatre,Негосударственное учреждение,"191040, Санкт-Петербург, ул. Пушкинская, д.19",+7 911 090 50 60,Www.kukfo.ru https://vk.com/club647800,Kukfo@inbox.ru kukfo@list.ru,Нет,1127800003154,7840290354,"59.927116,30.355565"
4362,"Театр ""Лицедеи""","Theatre ""Litsedei""",Негосударственное учреждение,"197022, Санкт-Петербург, ул. Льва Толстого, д.9, лит. А (ТРК ""Толстой сквер"")","+7 (921) 967 28 42, +7 (812) 779-10-35",Www.licedei.com,Licedei-open@mail.ru,Нет,1089847263472,7813418936,"59.965021,30.315733"
4363,"Театр ""Плоды просвещения"" (ООО ""Масштаб"")","Theatre ""Fruits of Enlightenment""",Негосударственное учреждение,"194358, Санкт-Петербург, пр. Энгельса, 154, лит. А (ТРК «Гранд Каньон«, территория развития »Дивный город», 3-й этаж)",Справки по репертуару и наличию билетов: 8 (812) 677-57-07,Www.teatr-pp.ru https://vk.com/club33168237,Teatrpp@gmail.com,Нет,1117847163280,7802749407,"60.058987,30.334984"
4365,"Театр ""Рок-опера плюс""","Theatre ""Rock-Opera plus""",Негосударственное учреждение,"Выступает на сцене Санкт-Петербургского театра Мюзик-Холл, ДК Ленсовета и т. Д.",+7 (911) 242-19-55,Rock-opera.ru https://vk.com/rockopera,Info@rock-opera.ru,Нет,1027810228071,7812014218,"59.916938,30.286799"
4366,"Театр ""Ювента"" Российского государственного педагогического университета им. А. И. Герцена","""Uventa"" the Theatre of the Herzen State Pedagogical University of Russia",Ведомственное учреждение,"191186, Санкт-Петербург, пр. Юрия Гагарина, 42, ст.м""Звездная"" (на сцене Театра ""Алеко"")","+7 (812) 987-33-43, +7 (911) 261-37-24",Http://teatr-uventa.spb.ru/,Teatr-uventa@yandex.ru,Нет,1127800004199,7802290466,"59.934813,30.321447"
4367,Театр Детского балета,Children's Ballet Theatre,Гос. Районное учреждение,"198152, Санкт-Петербург, ул. Новостроек, 25",+7(812)7846203;,Http://www.children-ballet.ru/,Children-ballet@yandex.ru,Нет,1027802728227,7805008950,"59.873388,30.270045"
4368,Театр драматических импровизаций,Drama Improvisation Theatre,Негосударственное учреждение,"198188, Санкт-Петербург, проспект Стачек, д. 72 (Дворец культуры им. И.И. Газа, Малая сцена, 3-й этаж)",+7(921)0972817,Www.drim.spb.ru,Info@drim.spb.ru,Нет,1127847019849,7808018139,"59.878297,30.262832"
4370,"Театр кукол ""Бродячая собачка""","Puppet Theatre ""Brodyachaya Sobachka"" (""Wandering Doggy"")",Гос. Районное учреждение,"Санкт-Петербург, ст. М. «Автово«, »Кировский завод», пр. Стачек, 59, вход с ул.Зенитчиков",+7(812)7834327,Www.puppettheatre.spb.ru,Sobachkadm@mail.ru,Нет,1027802735058,7805039035,"59.87402,30.258026"
4371,Театр эстрады имени Аркадия Райкина,Arkadiy Raikin Estrade Theatre,Гос. Городское учреждение,"191186, Санкт-Петербург, Большая Конюшенная ул., д.27",+7(812)3146661,Www.estrada.spb.ru,Info@estrada.spb.ru,Нет,1097847186656,7841409683,"59.936828,30.322246"
4372,Театр юных зрителей им. А. А. Брянцева,A. A. Bryantsev Youth Theatre,Гос. Городское учреждение,"191119, Санкт-Петербург, Пионерская пл, д.1",+7(812)7124102; +7(812)7641124;,Www.tyuz-spb.ru,Spb-tuz@mail.ru,Нет,1027810260543,7809007926,"59.919797,30.334912"
4373,"Театр-Концерт ""Вампука"" (АНО)","Theatre-Concert ""Vampuka""",Негосударственное учреждение,"191040, Санкт-Петербург, Пушкинская ул., д. 10, лит. Б",+7(812)980-80-80,Www.vampuka.com,Teatrvampuka@yandex.ru,Нет,1127800009512,7840290523,"59.929227,30.357792"
4374,"Театр-студия ""Небольшой драматический театр""","Theatre-Studio ""Little Drama Theatre""",Гос. Городское учреждение,"Санкт-Петербург, проспект КИМа, д.6 Эко-лофт «Моrе Place« метро »Приморская»",(812) 943-51-13,Www.nebdt.ru,Nebdt@mail.ru,Нет,1027810256319,7825424691,"59.926291,30.299869"
4375,"Театральное товарищество ""Комик-Трест""","Theatrical Community ""Comic-Trust""",Негосударственное учреждение,"199004, Санкт-Петербург, В.О., 8-я линия, д.31, лит. А",+7(812)3281619; Бронирование билетов / администратор: +7 (911) 902-07-09,Www.comic-trust.com https://vk.com/comictrust,Theatreclown@comic-trust.com,Нет,1037832019752,7814083760,"59.9422,30.243877"
4376,"Учебный театр ""На Моховой""","Theatre ""On Mokhovaya street""",Государственное федеральное бюджетное учреждение,"191028, Санкт-Петербург, Моховая ул., 35",Касса: (812) 273-04-32 (вт-вс с 15.00 до 19.00) Администраторы: (812) 579-36-11,Http://учебный-театр.рф/,Uteatr@rgisi.ru,Нет,1090640373255,1391018790,"59.940501,30.34483"
4379,Эрмитажный театр,Hermitage Theatre,Государственное федеральное учреждение,"191186, Санкт-Петербург, дворцовая наб., д.34","(812) 495-71-47, (812) 495-71-48 (Вторник – суббота с 13.00 до 17.00), +7 (812) 710-90-30 +7(911) 998-40-73 (понедельник, среда, воскресенье, с 12.00 14.00)","Http://www.hermitagemuseum.org/wps/portal/hermitage/what-s-on/articles/music_theatre/?lng=ru, https://vk.com/hermitagetheatre",Theatre@hermitage.ru,Нет,1167847403569,7807140577,"59.941682,30.317719"
12748,Выборгский Дворец Культуры,Vyborgsky Palace of Culture,ООО,"194044, Санкт-Петербург, ул. Комиссара Смирнова, д.15, лит. А","8 (812)542-38-39, 8 (812) 542-14-60",Https://dkvdk.ru/,Vdk2003@mail.ru,Нет,1027801536180,7802050312,"59.96303,30.348324"
15999,Новая сцена Александринского театра,The New Stage of Alexandrinsky Theatre,Гос. Федеральное бюджетное учреждение культуры,"191023, Санкт-Петербург, наб. Реки Фонтанки, д. 49 А",+7 (812) 401-53-41,Http://www.alexandrinsky.ru/,New@alexandrinsky.ru,Да,1037843017761,7808006670,"59.930247,30.33774"
16000,Каменноостровский театр (Вторая сцена БДТ),Kamennoostrovsky Theatre (Second Stage of Bolshoy Drama Theatre ),Гос. Федеральное учреждение,"Санкт-Петербург, площадь Старого Театра, д.13","244-59-04, + 7 (921) 31-400-31",Bdt.spb.ru,Bdt@bdt.spb.ru,Нет,1037843003747,7808004288,"59.976771,30.275051"
16001,Мариинский-2,Mariinsky-2,Федеральное государственное бюджетное учреждение культуры,"190121, Санкт-Петербург, ул. Декабристов, д.34",+7 812 326 41 41,Https://www.mariinsky.ru/,Post@mariinsky.ru,Нет,1027810251006,7812024600,"59.92571,30.294282"
16002,Концертный Зал Мариинского Театра,Concert Hall of the Mariinsky Theatre,Федеральное государственное бюджетное учреждение культуры,"190121, Санкт-Петербург, ул. Писарева, д. 20 (вход с ул. Декабристов, 37)",+7 812 326 41 41,Https://www.mariinsky.ru/,Post@mariinsky.ru,Нет,1027810251006,7812024600,"59.92525,30.287261"
18689,"СПб ГБУК ""Камерный драматический театр ""Левендаль""","Theatre ""Levendal""",Государственное бюджетное учреждение культуры,"198302, Санкт-Петербург, ул. Маршала Казакова, д. 1, корп. 1",Зарезервировать билеты +7 969-202-88-18,Https://www.levendal.ru/ https://vk.com/teatr_levendal,"Levendal89045123950@gmail.com , guzbrf@mail.ru",Нет,1187847161424,7805728564,"59.860709,30.24946"
18942,"Инженерный театр ""АХЕ"" (АНО)","Engineering theatre ""AXE""",Негосударственное учреждение,"195248, Санкт-Петербург, ш. Революции, д. 84 (Театральная площадка «Порох»)",+7(921)947 7576,Http://www.akhe.ru,Axegroup@mail.ru,Нет,1107800003816,7840019137,"59.961259,30.452865"
18944,"Лаборатория театрально-визуального искусства ""ART-измерение""","Theatre and Visual Art Laboratory ""ART-space""",Негосударственное учреждение,"191186, Санкт-Петербург, Казанская ул., д. 7",+7 911-185-70-20,Https://vk.com/artizmerenie,Artizmerenie@gmail.com,Нет,1157847278346,7841027243,"59.94362,30.379724"
18945,"Молодёжный включённый театр ""Питер Шед"" (АНО)","Youth inclusive teatre ""Piter Shed""",Негосударственное учреждение,"194044 , Санкт-Петербург, Большой Сампсониевский пр., д. 37 (Дом молодежи «Форпост»)",+7 952-393-97-89,"Https://www.pitershed.ru/ , https://vk.com/pitershed",Pitershed@mail.ru,Нет,1077800005392,7801268034,"59.967503,30.342774"
18946,"Музыкальный Театр Детей Марины Ланда ""Радуга"" (АНО)","Marina Landa Children's Musical Theatre ""Raduga""",Негосударственное учреждение,"191014, Санкт-Петербург, ул. Маяковского, д. 19/15",+7 921-424-64-65,Http://teatrlanda.ru,Iinfo@teatrlanda.ru,Нет,1097800006886,7841016837,"59.938568,30.355527"
18947,Народный театр юного зрителя,National Theatre of Young Spectators,Негосударственное учреждение,"194044, Санкт-Петербург, ул. Комиссара Смирнова, д. 15, лит. А (ДК «Выборгский»)",+7 (812) 542-31-51,Https://vk.com/club271500,Vdk2003@mail.ru,Нет,1027801536180,7802050312,"59.96303,30.348324"
18948,"Открытый общественный театр ""Родом из блокады""","Open public theare ""Originally from blockade""",Негосударственное учреждение,"195009 , Санкт-Петербург, пл. Ленина д. 1 (Концертный зал у Финляндского вокзала)",8 (812) 542-66-11,Https://vk.com/club14911445,-,Нет,1037858013379,7805130301,"59.953294,30.357385"
18949,"""Петербург-концерт"". ""Наш театр""","""Our Theatre""",Государственное городское бюджетное учреждение культуры,"191023 , Санкт-Петербург, наб. Реки Фонтанки, д. 41","+7 (812) 710-40-91, 8-921-300-36-20",Http://www.teatr-nashteatr.ru,Teatr-nashteatr@mail.ru,Нет,1027809210615,7825332472,"59.930674,30.339199"
18950,"Православный драматический театр ""Странник""","Orthodox Drama Theatre ""Wanderer""",Некоммерческое учреждение,"196084, Санкт-Петербург, Цветочная ул., д. 16, лит. К",8 (812) 387-53-73,Http://православныйтеатрстранник.рф/,"Strannik.teatr@yandex.ru, uvarov.strannik@yandex.ru",Нет,None,None,"59.887997,30.330336"
18966,Санкт-Петербургский городской театр (АНО),Saint-Petersburg City Theatre,Негосударственное учреждение,"191014, Санкт-Петербург, Литейный пр., д. 46",8 (812) 922-34-42,Https://goteatr.ru/,Info@goteatr.ru,Нет,1167800054597,7842117041,"59.937589,30.34862"
18969,"Русский театр ""Морошка"" (АНО)","Russian theatre ""Moroshka""",Государственное городское учреждение,"191028, Санкт-Петербург, ул. Фурштатская, д.15",8 (812) 906-35-08,"Http://moroshka-spb.ru, https://vk.com/club200490249","Infomoroshka@mail.ru, directormoroshka@mail.ru",Нет,1097800005610,7801269366,"59.94502,30.354447"
18971,"Санкт-Петербургский драматический театр ""Алые паруса""","St. Petersburg Theatre of Drama ""Scarlet Sails""",Коммерческое учреждение,"197046, Санкт-Петербург, Малая Посадская ул., д. 23",+7 911-261-74-95 +7(812)5343041,Http://teatr-alye-parusa.narod.ru,Alye.parusa@mail.ru,Нет,1157847436889,7838047063,"59.958295,30.330995"
18975,Санкт-Петербургский драматический театр им. Графини С. В. Паниной (СПб ДК Железнодорожников),Countess S.V. Panina Drama Theatre,Государственное городское учреждение,"192007, Санкт-Петербург, Тамбовская ул., д. 63",+7 906-225-27-57,Http://teatrpaninoy.ru/,Paninateatr@yandex.ru,Нет,None,None,"59.909317,30.3515"
18978,"Драматический театр ""Остров""","""Ostrov"" Drama Theatre",Негосударственное учреждение,"197101, Санкт-Петербург, Каменноостровский пр., д. 26/28","8 (812) 346-38-10, 8 (812) 346-43-43",Http://www.ostrov-teatr.ru,Nfo@ostrov-teatr.ru,Нет,1027806878550,7813071787,"59.961984,30.314753"
18981,"Санкт-Петербургский музыкально-драматический театр ""Синяя птица"" (АНО)","Musical dramatic theatre ""Blue bird""",Негосударственное учреждение,"Санкт-Петербург, 18-я линия В.О., дом 53, литер Б , 4 этаж (репетиционная база)",8 (921) 332-42-77,Https://mdt-bluebird.ru,Mdt.bluebird@gmail.com,Нет,1147800001161,7801351652,"59.942017,30.259883"
18982,"Санкт-Петербургский просветительский театр ""Новое поколение""","St. Petersburg Educational Theatre ""New generation""",Негосударственное учреждение,Нет своей площадки,+7 921-919-01-82,Https://www.kino-teatr.ru/teatr/1306/,Sbdvorko@mail.ru,Нет,None,None,"59.939572,30.326717"
18984,"Санкт-Петербургский театр пантомимы ""Раздватри"" (АНО)","Pantomime theatre ""Onetwothree""",Некоммерческое учреждение,Нет своей площадки,-1297.0,Https://123-spb.ru/,Iola_123@mail.ru,Нет,1077800018780,7842013099,"59.940956,30.379077"
18986,"Санкт-Петербургский театр ""Под самой крышей""","Theatre ""Under the roof""",Негосударственное учреждение,"196084 , Санкт-Петербург, Московский пр., д. 152 (КДЦ «Московский»)",+7 905-229-41-53 8 905 205 4780,Http://kdcmoskovskiy.ru/ https://vk.com/club979303,Funteatr@mail.ru,Нет,1037825013071,7811092654,"59.884537,30.321479"
