Район,"Название школы или иного учреждения, в котором может работать секция/кружок",Адрес учреждения,Виды спорта/направления деятельности секции,Минимальный возраст,Максимальный возраст,Пол,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Дополнительная информация
Фрунзенский,Государственное бюджетное учреждение спортивная школа олимпийского резерва «Купчинский Олимп» Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, Софийская ул., д. 40 к. 4",- баскетбол.,8,без ограничения в зависимости от результата,- мужской; - женский.,Семёнов Виктор Иванович,+7 (812) 2691332 +7 (812) 4908777,+7 (812) 2691332 +7 (812) 4908778,sdushor-olimp@mail.ru,Муниципальный округ № 72,7816157249,1037835030265,
Фрунзенский,Государственное бюджетное учреждение спортивная школа олимпийского резерва № 1 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, Лиговский пр., д. 208, литера А",- вольная борьба; - греко-римская борьба; - дзюдо; - джиу-джитсу; - киокусинкай; - самбо; - танцевальный спорт; - художественная гимнастика.,6,без ограничения в зависимости от результата,- мужской; - женский.,Черникова Татьяна Владимировна,+7 (812) 2423786 +7 (812) 2423785,+7 (812) 2423786 +7 (812) 2423786,sportschool1@bk.ru,Муниципальный округ «Волковское»,7816157383,1027807991430,
Фрунзенский,Государственное бюджетное учреждение спортивная школа № 2 Фрунзенского района Санкт-Петербурга,"Санкт-Петербург, Пражская ул., д. 10, к.2",Хоккей,6 лет,18 лет,Мужской,Сысоев Виктор Игоревич,8 (921) 941-71-80,,Gbush2@mail.ru,Муниципальный округ «Волковское»,7816732724,1227800098162,
Выборгский,Государственное бюджетное учреждение спортивная школа олимпийского резерва по прыжкам на лыжах с трамплина и лыжному двоеборью Выборгского района Санкт-Петербурга,"Санкт-Петербург, Выборгское шоссе, д. 102, лит. А","Лыжное двоеборье, прыжки на лыжах с трамплина, лыжные гонки",8,18,"м,ж",Дубровский Станислав Эдуардович,+7(812)5541493,+7(812)5972526,sport@tramplin.spb.ru,Шувалово-Озерки,7802141714,1037804001256,
Выборгский,Государственное бюджетное учреждение спортивная школа олимпийского резерва по легкой атлетике и фехтованию Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Раевского, д. 14, лит. А","Легкая атлетика, фехтование",8,18,"м,ж",Яковлева Ольга Борисовна,+7(812)2972155,+7(812)2972155,vyb.sport@mail.ru,Светлановское,7802141432,1027801582280,
Выборгский,Государственное бюджетное учреждение спортивная школа олимпийского резерва водных и других видов спорта Выборгского района Санкт-Петербурга,"Санкт-Петербург, пр. Пархоменко, д. 6, лит. С, пом. 3Н","Плавание, айкидо, водное поло, спорт слепых - плавание, дзюдо, синхронное плавание, спортивная акробатика",6,18,"м,ж",Ныркова Марина Петровна,+7(812)2944883,+7(812)2944886,vodnoe_polo@mail.ru,Светлановское,7802109164,1027801582346,
Выборгский,"Государственное бюджетное учреждение спортивная школа олимпийского резерва ""Экран"" Выборгского района Санкт-Петербурга","Санкт-Петербург, 2-й Муринский пр., д. 29, лит. А","Волейбол, полиатлон, спортивное ориентирование, спорт глухих - волейбол, футбол",7,18,"м,ж",Савин Василий Васильевич,+7(812)5502397,+7(812)5502397,ekranvolley@mail.ru,Светлановское,7802106124,1027801556397,
Выборгский,"Государственное бюджетное учреждение спортивная школа ""Выборжанин"" Выборгского района Санкт-Петербурга","Санкт-Петербург, Светлановский пр., д. 3, лит. А","Бейсбол, бокс, кикбоксинг, полиатлон, футбол. Софтбол",8,18,"м,ж",Шарипов Малик Иржанович,+7(812)4097147,+7(812) 4097147,sportviborjanin@mail.ru,Светлановское,7802141792,1027801582302,
Выборгский,"Государственное бюджетное учреждение спортивная школа ""Локомотив"" Выборгского района Санкт-Петербурга","Санкт-Петербург, п. Левашово, ул. Первомайская, д. 37, лит. А","Велоспорт, самбо, футбол, греко-римская борьба",7,18,"м,ж",Барников Михаил Ленинович,+7(812)4173411,+7(812)4173411,lokomotiv_spb@mail.ru,поселок Левашово,7802144786,1027801582291,
Кировский,СПб ГОБУ ДОД СДЮСШОР Кировского района Санкт-Петербурга,"198207, Санкт-Петербург, ул. Зины Портновой, д. 21, корп.4, литера А","Гандбол, баскетбол, легкая атлетика, плавание",8,18,М/Ж,Нестеров Юрий Игоревич,570-83-05,570-83-05,Sekretar@sportschool.spb.ru,МО Дачное,7805119851,1027802712882,
Кировский,СПб ГОБУ ДОД СДЮСШОР Кировского района Санкт-Петербурга (футбол),"198207, Санкт-Петербург, ул. Зины Портновой, д. 21, корп. 4, лит. А",Футбол,8,18,М,Нестеров Юрий Игоревич,570-83-05,570-83-05,Sekretar@sportschool.spb.ru,МО Дачное,7805119851,1027802712882,
Кировский,"Подростково-молодежный клуб ""Альтаир"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г.Санкт-Петербург, улица Лёни Голикова, дом 82, литера А","Силовой спорт, атлетизм, пауэрлифтинг, армрестлинг, бодифитнес, фотостудия",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Дачное,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Алые паруса"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, ул. Новостроек, д. 15","Вокал, декоративно-прикладное искусство, ИЗО, танецы, настольный теннис, пилатес, студия журналистики, танцев «Зажигай», театральная студия, футбол, хип-хоп, хореография, шахматы, шашки",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Автово,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Бригантина"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, пр. Стачек, д. 6","Декоративно-прикладное искусство, дизайн, соломка, инструментальный ансамбль, настольный теннис, ОФП, вокал",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Нарвский округ,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""им. Лени Голикова"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, пр. Ветеранов, д. 53/56","Гитара, ИЗО, секция «Мотораритет», настольный теннис, скалолазание, танцы, студия эстрадной песни, театральная студия, художественная гимнастика",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Автово,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Заря"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, ул. Краснопутиловская, д. 19","Танцы, студия творческого развития, танцевальная аэробика, творческая мастерская, театральная студия, фотостудия, футбол, художественная гимнастика, эстрадный вокал, йога ОФП",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Дачное,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Канонерец"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, Канонерский остров, д. 11","Настольный теннис, атлетическая гимнастика",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Морские ворота,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Кортик"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, Дачный пр., д. 13","Атлетическая гимнастика, ИЗО, ОФП, силовой спорт",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Дачное,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Ленинец"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, Ленинский пр., д. 137","Атлетическая гимнастика, аэробика, футбол, художественная гимнастика, клуб журналистики, современный танец",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,МО Княжево,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Нарвская застава"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, ул. Стойкости, д. 8","Аэробика, вокальная студия, вокально-инструментальный ансамбль, декоративно-прикладное искусство, ИЗО, хореография, настольный теннис",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Ульянка,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Радуга"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","Санкт-Петербург, пр. Народного Ополчения, д. 115","Вокал, бальные танцы, гитара, декоративно-прикладное искусство, ИЗО, литературная студия, народный танец, хип-хоп, художественная гимнастика",7,30,Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Ульянка,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Ракета"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г.Санкт-Петербург, улица Лёни Голикова, дом 27, литера А","Акробатика, акробатический рок-н-ролл, ансамбль гитаристов, атлетическая гимнастика, воркаут, силовой спорт, спортивная гимнастика, художественная гимнастика, эстрадный вокал",7,30,М/Ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Дачное,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Ритм"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, ул. Генерала Симоняка, д. 9","Декоративно-прикладное искусство, народные промыслы, ИЗО, настольный теннис, студия журналистики, студия эстрадного вокала, театральная студия, шахматы",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Ульянка,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Северная заря"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, ул. Губина, д. 37/5","Декоративно-прикладное искусство, ОФП, современный танец, эстрадный вокал",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Нарвский округ,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Смена"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, ул. Солдата Корзуна, д. 40","Акробатический рок-н-ролл, основы военной службы, рукопашный бой, овременные танцы, хип-хоп, художественная гимнастика",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Ульянка,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Факел"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, ул. Счастливая, д. 17","Бильярд, футбол",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Княжево,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Юность"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, пр. Народного Ополчения, д. 3","Современные танцы, спортивные танцы, молодежное пространство",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Княжево,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Юный корабел"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, пр. Стачек, д. 67","Современные танецы, настольный теннис, ОФП, футбол, шахматы",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Автово,7805039540,1037811033512,
Кировский,"Подростково-молодежный клуб ""Юный ленинградец"" СПб ГБУ ""Подростково-молодежный центр ""Кировский""","г. Санкт-Петербург, ул. Подводника Кузьмина, д. 26","Атлетическая гимнастика, вокально-инструментальный ансамбль, настольный теннис, ОФП, современный танец, театральная студия, хореография, шахматы, шашки, эстрадный вокал",7,30,М/ж,Домбровская Наталья Эдуардовна,377-21-13,376-56-48,Pmz.kir@gmail.com,Княжево,7805039540,1037811033512,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Спортивно-оздоровительный комплекс Колпинского района ""Ижорец""","Санкт-Петербург, город Колпино, Тверская улица, дом 27, литера А",-плавание; -картинг; -баскетбол; -волейбол; -велоспорт; -акробатика; -черлидинг; -эстетическая гимнастика; -художественная гимнастика; -городошный спорт; -греко-римская борьба; -рукопашный бой; -футбол; -стрельба из лука; -самбо; -дзюдо; -туризм; -легкая атлетика; -бочче,1,85,"Мужской,женский",Овчаренко Тимур Геннадьевич,+7(812)4827202,+7(812)4827202,Info@sok-izhorets.ru,Внутригородское муниципальное образование Колпино,7817037811,1027808755590,
Колпинский,Государственное бюджетное образовательное учреждение дополнительного образования детей специализированная детско-юношеская спортивная школа олимпийского резерва по конькобежному спорту Колпинского района Санкт-Петербурга,"Санкт-Петербург, город Колпино, улица Анисимова, дом 3, литера А",-конькобежный спорт; -шорт-трек; -фигурное катание на коньках; -футбол; -лыжные гонки; -городошный спорт,5,23,"Мужской,женский",Рак Александр Анатольевич,+7(812)4638538,+7(812)4638538,Sdushor.konki@yandex.ru,Внутригородское муниципальное образование город Колпино,7817033447,1027808757800,
Колпинский,Государственное бюджетное учреждение дополнительного образования детей специализированная детско-юношеская спортивная школа олимпийского резерва по гребле Колпинского района Санкт-Петербурга,"Санкт-Петербург, улица Володарского 2, литера А.",-гребля на байдарках и каноэ; -плавание; -прыжки в воду,7,23,"Мужской,женский",Андреева Татьяна Вячеславовна,+7(812)4172702,+7(812)4172702,Sdyushor-greblya@yandex.ru,Внутригородское муниципальное образование город Колпино,7817033408,1027808758053,
Колпинский,Санкт-Петербургское государственное бюджетное образовательное учреждение дополнительного образования детей детско-юношеская спортивная школа имени олимпийского чемпиона Николая Дроздецкого,"Санкт-Петербург, город Колпино, улица Танкистов, дом 26, корпус 2, литера А",-хоккей.,7,18,"Мужской,женский",Михайлов Александр Николаевич,+7(812)4694010,+7(812)4694010,Xkd_kolpino@mail.ru,Внутригородское муниципальное образование город Колпино,7817303358,1057811772941,
Петроградский,"ГБУ СШОР по плаванию ""Радуга"" (секция мальчики)","197110, г.Санкт-Петербург, Чкаловский проспект, дом 12",Плавание,7,21,М,Директор Еремин Игорь Борисович,+7(812)235-38-77,+7(812)235-38-77,Radugaswimm@yandex.ru,"Муниципальный округ ""Чкаловское""",7813131531,1027806875249,
Петроградский,"ГБУ СШОР по плаванию ""Радуга"" (секция девочки)","197110, г.Санкт-Петербург, Чкаловский проспект, дом 12",Плавание,7,21,Ж,Директор Еремин Игорь Борисович,+7(812)235-38-77,+7(812)235-38-77,Radugaswimm@yandex.ru,"Муниципальный округ ""Чкаловское""",7813131531,1027806875249,
Петроградский,ГБУ СШ Петроградского района (бокс),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Бокс,10,17,М,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (академическая гребля),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Гребной спорт (академическая гребля),10,21,М,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (гребной спорт),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Гребной спорт (академическая гребля),10,21,Ж,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (секция м),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Плавание,7,15,М,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (секция ж),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Плавание,7,15,Ж,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (вольная борьба),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Спортивная борьба (вольная борьба),10,18.0,М,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (футбол),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Футбол,7.0,18,М,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,ГБУ СШ Петроградского района (художественная гимнастика),"197101,Санкт-Петербург, Каменноостровский проспект, дом 36/73",Художественная гимнастика,6,17,Ж,Директор Находкина Ольга Викторовна,+7(812)246-30-86,+7(812)246-30-86,Petrosportschool@mail.ru,"Муниципальный округ ""Кронверкское""",7813128264,1037828004060,
Петроградский,"СПб ГБУ ""СШОР по парусному спорту ""Крестовский остров"" (Южная дорога)","197110, г. Санкт-Петербург, Южная дорога",Парусный спорт,9.0,Без ограничения,М,Директор Байбеков Адель Шамилевич,+7(812)640-29-49,+7(812)640-29-49,Info@kros.spb.ru,"Муниципальный округ ""Чкаловское""",7813289857.0,1177847338470,
Петроградский,"СПб ГБУ ""СШОР по парусному спорту ""Крестовский остров""","197110, г. Санкт-Петербург, Южная дорога",Парусный спорт,9.0,Без ограничения,Ж,Директор Байбеков Адель Шамилевич,+7(812)640-29-49,+7(812)640-29-49,Info@kros.spb.ru,"Муниципальный округ ""Чкаловское""",7813289857.0,1177847338470,
Центральный,Государственное бюджетное учреждение Спортивная школа Центрального района Санкт-Петербурга,"Санкт-Петербург, Кирилловская ул., д. 7-9","Спортивная гимнастика, художественная гимнастика, эстетическая гимнастика, акробатический рок-н-ролл, волейбол, дзюдо",6,,Дев. Мал.,Баранов Михаил Юрьевич,274-00-90,,Centrdusch@mail.ru,МО Смольнинское,7825431233,1027809252316,
Центральный,Государственное бюджетное учреждение Спортивная школа олимпийского резерва №1 Центрального района Санкт-Петербурга,"Санкт-Петербург, Ковенский пер., д. 12","Баскетбол, легкая атлетика, спортивная гимнастика, АФК",6,,Мал. Дев.,Газин Антон Михайлович,241-29-13,,Sdushor-1centr@mail.ru,МО Литейный окрут,7825127787,1027809215719,
Василеостровский,ГБУ СШ №2 Василеостровского района Санкт-Петербурга,"Наличная ул, д. 44, корп.3","Легкая атлетика, футбол, теннис, акробатический рок-н-ролл, бадминтон, настольный теннис",,,,Шестакова Мария Георгиевна,409-83-82,,Dussh2-vo@mail.ru,,,,
Василеостровский,"СПб ГБУ ""ЦФКСиЗ ВО""","Средний пр. В.О., д. 87, корп. 2, лит. А",,,,,Кузнецова Вера Александровна,322-68-15,,Cfkszvo@mail.ru,,,,
Василеостровский,ГБУ СШОР ВО,"Малый пр. В.О., д. 66","Баскетбол, волейбол, дзюдо, шахматы)",,,,Фетисов Андрей Сергеевич,355-07-00,,Sdusshor-vo@mail.ru,,,,
Курортный,ГБУ СШОР им.В.Коренькова Курортного района Санкт-Петербурга,"г.Санкт-Петербург, г.Сестрорецк, пр. Красных Командиров, д.9, лит.А","Бокс, велоспорт-шоссе, велоспорт-трек, велоспорт-маунтинбайк, волейбол, гребной спорт (академическая гребля), дзюдо, лыжные гонки, самбо, спортивная борьба, спортивное ориентирование, тхэквондо, футбол, хоккей, спорт глухих (спортивное ориентирование), шорт-трек (конькобежный спорт),триатлон",7,40,"Женский, мужской",Виноградова Евгения Юрьевна,8 (812) 437-38-16,-,4373816@mail.ru,ВМО г. Сестрорецк,7827001557,1027812406962,"Зачисление осуществляется набором, по состоянию здоровья и контрольно-переводным нормативам"
Курортный,ГБУ СШОР Курортного района Санкт-Петербурга,"г.Санкт-Петербург, г.Зеленогорск, пр. Красных Командиров, д.19 -А","Дзюдо,самбо,лыжные гонки, футбол",6,30,"Женский, мужской",Савинов Александр Николаевич,8 (812) 433-33-19,-,Zel-sportshkola@yandex.ru,ВМО г. Зеленогорск,78270013849,1027812405720,"Зачисление осуществляется набором, при наличии медицинского допуска и вступительным (контрольно-переводным) нормативам"
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (баскетбол),"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 28",баскетбол,7 лет,18 лет,женский,Рыжова Наталья Владимировна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,Договор безвозмездного пользования о сотрудничестве и совместном использовании помещений спортивных объектов ФОК «Кронштадт» СПб ГАУ «Дирекция по управлению спортивными сооружениями Санкт-Петербурга
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (бокс),"Санкт-Петербург, город Кронштадт, улица Литке, дом 10",бокс,10 лет,18 лет,мужской/женский,Рыжова Наталья Владимировна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (кикбоксинг),"Санкт-Петербург, город Кронштадт, улица Литке, дом 10",кикбоксинг,10 лет,18 лет,мужской/женский,Игнатова Вера Семеновна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (плавание),"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 28",плавание,7 лет,18 лет,мужской/женский,Игнатова Вера Семеновна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,Договор безвозмездного пользования о сотрудничестве и совместном использовании помещений спортивных объектов ФОК «Кронштадт» СПб ГАУ «Дирекция по управлению спортивными сооружениями Санкт-Петербурга
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (спортивная гимнастика),"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 31",спортивная гимнастика,4 лет,18 лет,мужской,Рыбачева Лариса Авенберковна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,
Кронштадтский,"Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга ул. Литке, д. 10 (теннис)","Санкт-Петербург, город Кронштадт, улица Литке, дом 10",теннис,6 лет,18 лет,мужской/женский,Иванова Ирина Петровна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,Занятия платные
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (теннис),"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 31",теннис,6 лет,18 лет,мужской/женский,Иванова Ирина Петровна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,Занятия платные
