№ с/у,Административный район,Судебный район,Адрес,Примечание к адресу,Телефон / факс,Часы работы,Прием граждан,Судья,Секретарь суда,Секретарь судебного заседания,Помощник мирового судьи,Описание границ участка,Реквизиты для уплаты государственной пошлины: Счет получателя,Реквизиты для уплаты государственной пошлины: Банк получателя,Реквизиты для уплаты государственной пошлины: БИК банка получателя,Реквизиты для уплаты государственной пошлины: Корреспондентский счет,Реквизиты для уплаты государственной пошлины: ИНН получателя,Реквизиты для уплаты государственной пошлины: КПП получателя,Реквизиты для уплаты государственной пошлины: Наименование получателя,Реквизиты для уплаты государственной пошлины: Код бюджетной классификации,Реквизиты для уплаты государственной пошлины: Код ОКТМО,Реквизиты для уплаты государственной пошлины: Основание платежа (поле 106),Реквизиты для уплаты государственной пошлины: Налоговый период (поле 107),Реквизиты для уплаты государственной пошлины: Тип платежа (поле 110)
10,Адмиралтейский административный район,Ленинский судебный район,"198095, Санкт-Петербург, наб. Обводного канала д.132, литера «Е»",,241-51-20,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ушакова Ирина Анатольевна,,,,"Границы судебного участка N 10 проходят: от р. Фонтанки по оси Лермонтовского пр. до Обводного кан., далее по оси Обводного кан. до р. Екатерингофки, далее по оси р. Екатерингофки до р. Фонтанки, далее по оси р. Фонтанки до Лермонтовского пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7838000026,783901001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 8 по Санкт-Петербургу),18210803010011000110,40306000,,,
11,Василеостровский административный район,,"199004, Санкт-Петербург, 4-я линия В.О., д. 35/37, литера А",,246-68-25,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Прокошкина Марина Викторовна,,,,"Границы судебного участка N 11 проходят: от р. Малой Невы по оси Среднего пр. В.О. до 12-й линии В.О., далее по оси 12-13-й линий В.О. до Большого пр. В.О., далее по оси Большого пр. В.О. до 10-й линии В.О., далее по оси 10-11-й линий В.О. до р. Большой Невы, далее по оси р. Большой Невы до пересечения с осью р. Малой Невы, далее по оси р. Малой Невы до Среднего пр. В.О.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40308000,,,
12,Василеостровский административный район,,"190034, Санкт-Петербург, Биржевая линия, д. 1, литера Ж",,246-68-06,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Брунченко Татьяна Виленовна,,,,"Границы судебного участка N 12 проходят: от оси 12-13-й линий В.О. по оси Среднего пр. В.О. до 24-й линии В.О., далее по оси 24-25-й линий В.О. до Большого пр. В.О., далее по оси Большого пр. В.О. до Детской ул., далее по оси Детской ул. до Косой линии, далее по оси Косой линии и ее продолжению до Невской губы, далее по берегу Невской губы до р. Большой Невы, далее по оси р. Большой Невы до пересечения с осью 10-11-й линий В.О., далее по оси 10-11-й линий В.О. до Большого пр. В.О., далее по оси Большого пр. В.О. до 12-й линии В.О., далее по оси 12-13-й линий В.О. до Среднего пр. В.О.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40307000,,,
13,Василеостровский административный район,,"199004, Санкт-Петербург, 4-я линия В.О., д. 21, литера А",,246-68-21,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Рудницкая Антонина Григорьевна,,,,"Границы судебного участка N 13 проходят: от пересечения оси р. Малой Невы со створом Среднего пр. В.О. по оси р. Малой Невы, включая территорию Серного о-ва, до пресечения со створом пр. КИМа, затем на юго-запад и далее по оси пр. КИМа до Уральской ул., далее по оси Уральской ул. до Уральского моста, далее по оси р. Смоленки до пересечения с 10-й линией В.О., далее по оси 10-11-й линий В.О. до Среднего пр. В.О., далее по оси Среднего пр. В.О. и его продолжению до р. Малой Невы.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40307000,,,
14,Василеостровский административный район,,"199155, Санкт-Петербург, В.О., пер. Декабристов, д. 8, литера А",,409-81-23,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Рассказова Анастасия Алексеевна,,,,"Границы судебного участка N 14 проходят: от пересечения Среднего пр. В.О. и оси 10-11-й линий В.О. по оси 10-11-й линий В.О. до р. Смоленки, далее по оси р. Смоленки до Уральского моста, далее по оси Уральской ул. до пр. КИМа, далее по оси пр. КИМа, по оси наб. р. Смоленки до Смоленского моста, далее по оси р. Смоленки до Наличного моста, далее по оси Наличной ул. до ул. Беринга, далее по оси ул. Беринга до Малого пр. В.О., далее по оси Малого пр. В.О. до 24-й линии В.О., далее по оси 24-25-й линий В.О. до Среднего пр. В.О., далее по оси Среднего пр. В.О. до 10-11-й линий В.О.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40311000,,,
15,Василеостровский административный район,,"199004, Санкт-Петербург, 7-я линия В.О., д. 60, литера А",,246-68-31,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Кирова Наталья Александровна,,,,"Границы судебного участка N 15 проходят: от ул. Беринга по оси ул. Нахимова до ул. Кораблестроителей, далее по оси ул. Кораблестроителей в юго-восточном направлении до проезда между гостиницей «Прибалтийская»  и домом 9 по Морской наб., далее по проезду между гостиницей «Прибалтийская» и домом 9 по Морской наб. до пересечения с городской магистралью «Западный скоростной диаметр»  (далее - ЗСД), далее по оси ЗСД в юго-западном направлении до Невской губы, далее по берегу Невской губы до пересечения с осью Шкиперского кан., далее по оси Шкиперского кан. до Галерного проезда, далее по оси Галерного проезда до Парусной ул., далее по оси Парусной ул. до Малого пр. В.О., далее по оси Малого пр. В.О. до Гаванской ул., далее по оси Гаванской ул. до Шкиперского протока, далее по оси Шкиперского протока до ул. Шевченко, далее по оси ул. Шевченко до Среднего пр. В.О., далее по оси Среднего пр. В.О. до пересечения с 24-й линией В.О., далее по оси 24-25-й линий В.О. до Малого пр. В.О., далее по оси Малого пр. В.О. до ул. Беринга, далее по оси ул. Беринга до ул. Нахимова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40308000,,,
16,Василеостровский административный район,,"199034, Санкт-Петербург, 17-я линия В.О., д. 8, литера Б",,246-68-66,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Козихин Валерий Александрович,,,,"Границы судебного участка N 16 проходят: от пересечения берега Невской губы и оси Шкиперского кан. по оси Шкиперского кан. до Галерного проезда, далее по оси Галерного проезда до Парусной ул., далее по оси Парусной ул. до Малого пр. В.О., далее по оси Малого пр. В.О. до Гаванской ул., далее по оси Гаванской ул. до Шкиперского протока, далее по оси Шкиперского протока до ул. Шевченко, далее по оси ул. Шевченко до Среднего пр. В.О., далее по оси Среднего пр. В.О. до пересечения с 24-й линией В.О., далее по оси 24-25-й линий В.О. до Большого пр. В.О., далее по оси Большого пр. В.О. до Детской ул., далее по оси Детской ул. до Косой линии, далее по оси Косой линии и ее продолжению до Невской губы, далее по берегу Невской губы до Шкиперского кан.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40307000,,,
17,Василеостровский административный район,,"199155, Санкт-Петербург,  В.О., пр. КИМа, д.7/19, литера Б",,246-59-42,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Евстигнеева Ольга Николаевна,,,,"Границы судебного участка N 17 проходят: от пересечения ул. Беринга и Наличной ул. по оси ул. Беринга до ул. Нахимова, далее по оси ул. Нахимова до Прибалтийской пл., далее по восточной стороне Прибалтийской пл. до ул. Кораблестроителей, далее по оси ул. Кораблестроителей и по оси моста Кораблестроителей до р. Смоленки, далее по оси р. Смоленки до пересечения со Смоленским мостом, далее по оси Смоленского моста, по оси наб. р. Смоленки, по оси пр. КИМа до пересечения с пл. Балтийских Юнг, далее по южной стороне пл. Балтийских Юнг до Железноводской ул., далее по оси Железноводской ул. до Наличной ул., далее по оси Наличной ул. и по оси Наличного моста до ул. Беринга.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40308000,,,
18,Василеостровский административный район,,"199178, Санкт-Петербург, 15-я линия В.О., д. 86, литера В",,323-15-24,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Левко Анна Михайловна,,,,"Границы судебного участка N 18 проходят: от пересечения Наличной ул. и проезда между домом 40, корпус 1 и домом 42 по Наличной ул. в северо-западном направлении по оси этого проезда и в северо-восточном направлении вдоль западной стороны дома 42 по Наличной ул. до проезда вдоль северной стороны дома 40, корпусов 4 и 7 по Наличной ул. и дома 29, корпусов 1 и 4 по ул. Кораблестроителей, далее на северо-запад вдоль этого проезда до ул. Кораблестроителей, далее на север по оси ул. Кораблестроителей до Капитанской ул., далее по оси Капитанской ул. и ее продолжению до Невской губы, далее по берегу Невской губы в юго-западном направлении до пересечения с ЗСД, далее по оси ЗСД в северо-восточном направлении до створа южной стороны пл. Европы, на северо-восток и далее по южной стороне пл. Европы, по южной и восточной сторонам Прибалтийской пл. до ул. Кораблестроителей, далее по оси ул. Кораблестроителей до пересечения с р. Смоленкой, далее по оси р. Смоленки до Наличной ул., далее по оси Наличной ул. до проезда между домом 40, корпус 1 и домом 42 по Наличной ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40308000,,,
19,Приморский административный район,,"199155, Санкт-Петербург, ул. Маршала Новикова, д.13, литера А",,246-07-28,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Анцанс Анна Сергеевна,,,,"Границы судебного участка N 19 проходят:  от пересечения Парашютной ул. и Шуваловского пр. по оси Шуваловского пр. до пр. Королёва, далее по оси пр. Королёва до Долгоозёрной ул., далее по оси Долгоозёрной ул. до пр. Авиаконструкторов, далее по оси пр. Авиаконструкторов до Шуваловского пр., далее по оси Шуваловского пр. до Нижне-Каменской ул., далее по оси Нижне-Каменской ул. до Глухарской ул., далее по оси Глухарской ул. до границы земель сельскохозяйственного предприятия «Пригородный», далее на север по границе земель сельскохозяйственного предприятия «Пригородный»  до р. Каменки, далее по оси р. Каменки до Парашютной ул., далее по оси Парашютной ул. до пересечения с Шуваловским пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40311000,,,
20,Василеостровский административный район,,"190034, Санкт-Петербург, Биржевая линия, д. 1/1, литера Ж",,246-68-10,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Васильева Наталия Сергеевна,,,,"Границы судебного участка N 20 проходят: от пересечения Наличной ул. и Железноводской ул. по оси Железноводской ул. до пересечения с пл. Балтийских Юнг, далее по южной стороне пл. Балтийских Юнг до пр. КИМа, далее по оси пр. КИМа и его продолжению до оси р. Малой Невы, далее по оси р. Малой Невы до Невской губы, далее по берегу Невской губы до створа Капитанской ул., затем на юго-восток и далее по оси Капитанской ул. до ул. Кораблестроителей, далее на юг по оси ул. Кораблестроителей до проезда вдоль северной стороны дома 29, корпусов 1 и 4 по ул. Кораблестроителей и дома 40, корпусов 4 и 7 по Наличной ул., далее на юго-восток вдоль этого проезда до западной стороны дома 42 по Наличной ул., далее на юг и восток вдоль западной и южной сторон дома 42 по Наличной ул. до пересечения Наличной ул. с Железноводской ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7801045990,780101001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 16 по Санкт-Петербургу),18210803010011000110,40307000,,,
21,Выборгский административный район,,"194355, Санкт-Петербург, Суздальский пр., д. 11, литера А",,246-53-57,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Мамина Юлия Сергеевна,,,,"Границы судебного участка N 21 проходят: от пересечения Студенческой ул. и Белоостровской ул. 40 м на северо-запад по оси Белоостровской ул. до западной границы земельного участка, расположенного по адресу: г. Санкт-Петербург, Кантемировская ул., дом 12, далее в южном направлении по западной границе указанного земельного участка до Кантемировской ул., далее по оси Кантемировской ул. до р. Большой Невки, далее по оси р. Большой Невки до ул. Академика Лебедева, далее по оси ул. Академика Лебедева до Лесного пр., далее по оси Лесного пр. до Кантемировской ул., далее по оси Кантемировской ул. до оси Большого Сампсониевского пр., далее по оси Большого Сампсониевского пр. до 1-го Муринского пр., далее по оси 1-го Муринского пр. до пересечения со Студенческой ул., далее по оси Студенческой ул. до пересечения с Белоостровской ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7802036276,780201001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 17 по Санкт-Петербургу),18210803010011000110,40319000,,,
22,Выборгский административный район,,"194223, Санкт-Петербург, Светлановский пр., д. 21",,246-54-79,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Сперанская Светлана Александровна,,,,"Границы судебного участка N 22 проходят: от пересечения Лесного пр. и Литовской ул. по оси Лесного пр. до Кантемировской ул., далее по оси Кантемировской ул. до оси Большого Сампсониевского пр., далее по оси Большого Сампсониевского пр. до 1-го Муринского пр., далее по оси 1-го Муринского пр. до Студенческой ул., далее по оси Студенческой ул. до Сердобольской ул., далее по оси Сердобольской ул. до Большого Сампсониевского пр., далее по оси Большого Сампсониевского пр. до Институтского пер., далее по оси Институтского пер. до Лесного пр., далее на юг по оси Лесного пр. до северной стороны полосы отвода ж.-д. перегона Кушелевка - Ланская, далее по северной стороне полосы отвода ж.-д. перегона Кушелевка - Ланская до пересечения с северной стороной полосы отвода ж.-д. ветки Ириновского направления, далее по северной стороне полосы отвода ж.-д. ветки Ириновского направления до ул. Карбышева, далее по оси ул. Карбышева до Полюстровского пр., далее по оси Полюстровского пр. до Литовской ул., далее по оси Литовской ул. до Лесного пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7802036276,780201001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 17 по Санкт-Петербургу),18210803010011000110,40315000,,,
