№ п/п,Полное наименование объединения,Территориальный  статус,Дата регистрации объединения (общества),ИНН,ОГРН,Адрес,Координаты,Район города,Ближайщая станция метро,Руководитель,Телефон,Факс,Электронная почта
11,"Региональная общественная организация ""Татарское дворянское собрание Санкт-Петербурга""",Региональная,2012-06-26,7841290734,1127800006245,"191028, Санкт-Петербург, ул. Моховая, дом 15, литера А","59.944017,30.344911",Центральный,Чернышевская,Хасанов Салим Талхинович,753-88-32,753-88-54,Tds-spb@mail.ru
12,"Фонд по проведению культурно-массовых мероприятий ""Петербургский Сабантуй""",-,1998-09-28,7825120118,1037843042665,"191002, Санкт-Петербург, ул. Ломоносова, дом 20, офис 3","59.92727,30.340033",Центральный,Достоевская,Галеев Ирек Миясарович,571-64-67,571-64-67,Info@sabantuy.ru
13,"Региональная общественная организация ""Санкт-Петербургский культурный центр ""Мирас"" (Наследие)""",Региональная,2018-06-04,7813613239,1187800002411,"197046, Санкт-Петербург, Кронверкский пр-кт, д. 7 литер л, помещ. 2-н","59.955223,30.324725",Петроградский,Горьковская,Панчеев Равиль Джафярович,498-40-75,-,Dum-spb@mail.ru
14,"Санкт-Петербургский фонд поддержки и развития бурятской культуры ""Ая-Ганга""",Региональная,2000-06-21,7825130885,1037858020870,"197183, Санкт-Петербург, пр. Приморский, д.6, лит.А, пом.8-н","59.983265,30.283187",Приморский,Черная речка,Самбуева Цырендари Аюровна,8-911-223-07-77,-,Ayaganga-spb@mail.ru
15,"Городская общественная организация ""Киргизская национально-культурная автономия Санкт-Петербурга""",Региональная,2014-03-21,7842291480,1147800001722,"191036, Санкт-Петербург, пр. Невский, дом 132, офис 16","59.930381,30.367216",Центральный,Площадь Восстания,Абжапаров Алмазбек Торомаматович,8-950-022-12-41,-,Almaz126_272@mail.ru
16,"Общественная организация ""Петербургская городская национально-культурная автономия финнов - Инкери""",Региональная,1998-04-30,7825705854,1127800000668,"191119, Санкт-Петербург, ул. Разъезжая, дом 44, офис Ж","59.921651,30.353265",Центральный,Лиговский проспект,Кирьянен Александр Иванович,498-27-39,-,Kirjanen@mail.ru
17,"Санкт-Петербургская общественная организация ""Добровольное общество ингерманландских финнов ""Инкерин Лиитто""",Региональная,2003-02-07,7825349250,1037858008430,"191040, Санкт-Петербург, ул. Пушкинская, дом 15, корпус1Н","59.928185,30.356077",Центральный,Площадь Восстания,Тикка Елена Семеновна,713-25-56,713-25-56,Inkerinliitto@mail.ru
18,"Региональная общественная организация ""Сохранение культуры и традиций Карачаевского народа в Санкт-Петербурге ""Алан""",Региональная,1999-12-22,7805147947,1067800034312,"195299, Санкт-Петербург, ул. Корнея Чуковского, дом 12, литера А, кв.46","60.031162,30.457029",Красногвардейский,Девяткино,Хатуева Марина Юсуфовна,8-921-650-85-55,-,Dombai.09@mail.ru
19,"Санкт-Петербургская региональная общественная организация ""Азербайджанский национально-культурный центр ""Чинар""",Региональная,2021-05-04,7814790537,1217800071378,"197372, Санкт-Петербург, ул. Стародеревенская, дом 34, корпус 1, литера Б","60.007425,30.246779",Приморский,Комендантский проспект,Мирзоева Хейранса Абас Мирза Кызы,8-905-236-11-19,-,Heyra@mail.ru
20,"Региональная общественная организация ""Санкт-Петербургское Латышское общество""",Региональная,2016-03-14,7841036181,1167800050989,"191028, Санкт-Петербург г, ул.Моховая, дом 46, литера А","59.93877,30.345387",Центральный,Чернышевская,Четверухина Ия Александровна,8-921-929-34-01,-,Latv.spb@mail.ru
21,"Региональная общественная организация ""Латышское общество ""Даугава"" в Санкт-Петербурге""",Региональная,2012-07-06,7813290820,1127800006927,"197110, Санкт-Петербург, пр. Малый П. С., дом 20, литера 3А,пом.3Н","59.955674,30.292189",Петроградский,Чкаловская,Биндарс Эдвардс,8-921-965-61-14,-,Latvspb@mail.ru
22,"Региональная общественная организация ""Санкт-Петербургская литовская национально-культурная автономия""",Региональная,1999-10-28,7826710617,1037858033410,"190000, Санкт-Петербург, Гороховая ул, дом 5, литер, офис 1-Н","59.936034,30.310245",Адмиралтейский,Адмиралтейская,Жяльвис Гинтаутас Напалеонович,315-14-63,-,Bendrijaspb@mail.ru
23,"Региональная общественная организация ""Общество литовской культуры в Санкт-Петербурге""",Региональная,1999-06-19,7825430952,1047831002108,"190000, Санкт-Петербург, ул. Гороховая, дом 3, литер, пом.12-Н","59.936034,30.310245",Адмиралтейский,Адмиралтейская,Жяльвис Гинтаутас Напалеонович,315-14-63,-,Bendrijaspb@mail.ru
24,"Санкт-Петербургская общественная организация ""Корейская национально-культурная автономия""",Региональная,2014-07-23,7841292040,1147800004428,"191028, Санкт-Петербург, ул. Моховая, дом 15, литера А","59.944017,30.344911",Центральный,Чернышевская,Пак Дмитрий Олегович,272-34-20,272-34-20,Spbknka@mail.ru
25,"Региональная общественная организация ""Санкт-петербургское объединение женщин-кореянок""",Региональная,2014-03-06,7841291826,1147800001370,"191028, Санкт-Петербург, ул. Моховая, дом 15, литера А","59.944017,30.344911",Центральный,Чернышевская,Ли Жанна Моисеевна,306-12-68,-,Kowinspb@mail.ru
26,"Санкт-Петербургская региональная общественная организация развития молдавской культуры ""Патрия"" (Родина)",Региональная,2019-07-05,7841085541,1197800003081,"191186, Санкт-Петербург, переулок Мошков, дом 5 литер а, пом. 1н","59.942552,30.322138",Центральный,Гостиный двор,Пара Георгий Иванович,571-94-06,-,5719406@mail.ru
27,"Региональная общественная организация развития молдавской культуры, социальной и правовой помощи гражданам ""Моштениря молдовеняскэ"" (Молдавское достояние)",Региональная,2021-01-27,7802888538,1217800009063,"194100, Санкт-Петербург, ул Харченко, д. 2/12 литера А, помещ. 2-н ком. 16, офис 8","59.981046,30.350399",Выборгский,Лесная,Урсу Фёдор Фёдорович,8-965-068-85-55,-,Diasporamd_spb@mail.ru
28,"Региональная общественная организация ""Узбекская национально-культурная автономия Санкт-Петербурга ""Узбегим""",Региональная,2012-08-21,7842290705,1127800008973,"191036, Санкт-Петербург, ул. 7-я Советская, дом 4, литера А, пом.1Н","59.93713,30.369974",Центральный,Площадь Восстания,Абдурахимов Суратбек Мухитдинович,578-50-49,-,Suratik@mail.ru
29,"Региональная общественная организация ""Санкт-Петербургское узбекское землячество ""ТУРАН""",Региональная,2001-05-15,7801182443,1037858017669,"199178, Санкт-Петербург, 17-я линия В.О., дом 60","59.945206,30.258672",Василеостровский,Василеостровская,Хайдаров Алиджан Джахангирович,8-921-935-05-06,-,Umidspb@mail.ru
30,"Региональная общественная организация ""Санкт-Петербургская национально-культурная автономия грузин ""Иверия""",Региональная,2015-05-20,7804222623,1157800002403,"195197,Санкт-Петербург, пр. Полюстровский, дом 7, литера Д","59.964228,30.407164",Калининский,Площадь Ленина,Какабадзе Бадри Давидович,8-921-946-27-57,-,Iveria.2008@mail.ru
31,"Санкт-Петербургская Региональная общественная организация ""Армянская национально-культурная автономия ""Армянский национальный центр – Армения""",Региональная,2001-02-22,7810223424,1037858023940,"191121, Санкт-Петербург, наб. Реки Фонтанки, дом 51-53, литера А, пом.14-Н","59.941804,30.339664",Центральный,Гостиный двор,Мкртчян Карен Ромикович,710-50-61,710-58-76,Spbarmchurch@gmail.com
32,"Санкт-Петербургская региональная молодежная общественная организация ""Армянское землячество Санкт-Петербурга""",Региональная,2004-06-30,7838027540,1047831003384,"196626, Санкт-Петербург, пос. Шушары, ул. Окуловская, дом 4, кв. 44","59.807894,30.373738",Пушкинский,Купчино,Шарабханян Арам Хачатурович,8-911-230-70-13,-,9213933@mail.ru
33,"Региональная общественная организация ""Еврейская национально-культурная автономия - Ресурсный центр""",Региональная,1998-03-20,7838028409,1067800030781,"191025, Санкт-Петербург, ул. Рубинштейна, дом 3, литера А, пом. 9-Н","59.930354,30.344399",Центральный,Достоевская,Львова Евгения Абрамовна,315-88-30,320-69-90,Eugenia-lvova@peterlink.ru
34,"Санкт-Петербургская еврейская благотворительная общественная организация инвалидов ""Ева""",Региональная,1997-11-21,7804025745,1027800000502,"190000, Санкт-Петербург, наб.р.Мойки, дом 60","59.932175,30.313317",Центральный,Адмиралтейская,Амирян Елена Григорьевна,571-46-34,-,Elena@eva.spb.ru
35,"Санкт-Петербургская Общественная Организация ""Еврейское Общество эстетики и физической Культуры ""Маккаби""",Региональная,1999-07-30,7815017295,1037858016558,"193015, Санкт-Петербург, ул. Тверская, дом 8","59.947144,30.380951",Центральный,Чернышевская,Полянский Вадим Валерьевич,8-911-257-85-32,-,Maccabirussia@mail.ru
36,"Казахское общество Санкт-Петербурга и Ленинградской области ""Ата-Мекен""",Межрегиональная,1993-08-05,7801098600,1037858035038,"195027, Санкт-Петербург, пр. Среднеохтинский, дом 2Б, литера А, помещение 5-Н","59.946279,30.414548",Красногвардейский,Новочеркасская,Кикенова Алия Казкеновна,524-83-67,524-83-67,Ata_meken@mail.ru
37,"Межрегиональная общественная организация ""Молодежное казахское национально-культурное общество Санкт-Петербурга и Ленинградской области ""Молодежное крыло Ата-Мекен ""Достар""",Межрегиональная,2016-04-07,7806231849,1167800051407,"195027, город Санкт-Петербург, Среднеохтинский проспект, дом 2б литер а, помещение 5-н","59.945522,30.412482",Красногвардейский,Новочеркасская,Куспанова Бану-Аккумис Сарсенгалиевна,524-83-67,-,Ata_meken@mail.ru
38,"Санкт-Петербургская общественная организация таджикистанцев ""Аджам""",Региональная,2010-09-17,7838030334,1107800006797,"190031, Санкт-Петербург, пр. Московский, дом 10-12, литера А, помещение 7-Н","59.924641,30.317126",Адмиралтейский,Сенная,Усманов Мурод Абдуллоевич,295-31-27,-,Ajam63@mail.ru
39,"Региональная общественная организация ""Молодежное общество студентов Таджикистана в Санкт-Петербурге""",Региональная,2011-03-16,7838030493,1117800001725,"190031, Санкт-Петербург, пр. Московский, дом 10-12, литера Д, помещение 64Н","59.924641,30.317126",Адмиралтейский,Сенная,Бобохонова Жанна Туробовна,8-981-828-69-28,-,Most.spb2011@gmai.com
40,"Санкт-Петербургская общественная организация содействия развитию профессионального и творческого потенциала молодежи ""Содружество молодежи Дагестана""",Региональная,2009-03-06,7813204035,1097800001617,"197101, Санкт-Петербург, ул. Большая Монетная, дом 9, литера А, пом.2Н","59.960764,30.314925",Петроградский,Горьковская,Рашидова Асель Ибрагимовна,8-921-590-26-60,-,Aselisa@mail.ru
41,"Региональная общественная организация ""Санкт-Петербургское туркменское общество поддержки и объединения граждан по обмену и развитию творческого и интеллектуального наследия ""Мекан""",Региональная,2017-03-13,7802614544,1177800000993,"194356, Санкт-Петербург, ул. Асафьева, дом 4, корпус 2, квартира 87","60.049743,30.322722",Выборгский,Удельная,Сейидов Нургелди Реджепович,961-55-33,-,Mekanspb@bk.ru
42,"Некоммерческое партнерство ""Фонд поддержки и развития мордовской культуры в Санкт-Петербурге и Ленинградской области ""Шумбрат""",-,2012-01-16,7804290260,1127800000437,"195297, Санкт-Петербург, пр. Светлановский, дом 70, корпус 1, литера А, пом 46Н","60.041939,30.398576",Калининский,Гражданский проспект,Артемов Сергей Петрович,8-931-232-17-99,-,Artemov-s@yandex.ru
43,"Региональная общественная организация ""Чувашское культурное общество Санкт-Петербурга""",Региональная,2017-05-25,7811649913,1177800002566,"192177, Санкт-Петербург, Шлиссельбургский пр., дом 17, корпус2","59.838792,30.494157",Невский,Рыбацкое,Живов Владимир Михайлович,707-11-09,-,9840450@mail.ru
44,"Региональная общественная организация ""Чувашская национально-культурная автономия Санкт-Петербурга""",Региональная,2018-12-28,7802683241,1187800007867,"194358, Санкт-Петербург, пос. Парголово, ул. Николая Рубцова, дом 12, корп.1, квартира 1245","60.076462,30.336035",Выборгский,Озерки,Гаврилов Валериан Анатольевич,8-921-043-24-32,-,Valerian.gavrilov@list.ru
45,"Общественная организация ""Санкт-Петербургское общество эстонской культуры""",Региональная,1999-11-03,7801270160,1117800002836,"199106, Санкт-Петербург, пр. Большой В.О., дом 83","59.934091,30.254864",Василеостровский,Василеостровская,Федорова Вийу Хансовна,378-36-49,-,Viiuspb@inbox.ru
46,"Санкт-Петербургская общественная организация ""Ассоциация молодёжи Республики Саха (Якутия) ""Сайдыы""",Региональная,1998-04-21,7801106160,1037858017383,"199155, Санкт-Петербург, переулок Декабристов, дом 5, корпус 17","59.95279,30.248962",Василеостровский,Приморская,Максимова Елена Вячеславовна,8-999-060-12-20,-,Saydyy@bk.ru
47,"Санкт-Петербургская общественная организация ""Черкесское общество ""Адыгэ Хасэ""",Местная,2013-11-14,7841291618,1137800010347,"191028, Санкт-Петербург, ул. Моховая, дом 15, литер А","59.944017,30.344911",Центральный,Чернышевская,Хамхоков Бислан Мугдинович,974-25-05,-,Adiga_hasa_spb@list.ru
48,"Региональная общественная организация ""Санкт-Петербургское Осетинское общество ""Алания""",Региональная,2011-12-20,7811290328,1117800018335,"193079, Санкт-Петербург, ул. Новоселов, дом 11, литера Л","59.882451,30.458314",Невский,Ломоносовская,Наниев Петр Ерастиевич,367-31-75,-,Ozspb@mail.ru
49,"Общественная организация ""Санкт-Петербургское казачье землячество-станица ""Станица Казанская""",Местная,1997-07-16,7813107264,1037858011322,"197101, Санкт-Петербург, ул. Большая Пушкарская, дом 64","59.964156,30.31188",Петроградский,Петроградская,Крылов Владимир Дмитриевич,8-921-357-04-07,-,Vladimirspb14@mail.ru
50,"Санкт-Петербургская Региональная общественная организация содействия поддержке национальных и культурных традиций казаков ""Казачье землячество ""Станица Таврическая""",Региональная,2009-03-13,7811154420,1097800001771,"193079, Санкт-Петербург, Октябрьская наб., дом 104, корпус 43, литера АЖ","59.874494,30.488884",Невский,Рыбацкое,Дашков Евгений Юрьевич,609-99-88,-,-
51,"Общественная организация ""Санкт-Петербургское казачье землячество ""Невская станица""",Местная,2013-05-13,7816290628,1137800004330,"192007, Санкт-Петербург, Прилукская улица, дом 22","59.909441,30.350184",Фрунзенский,Обводный канал,Поединенко Сергей Иванович,8-909-591-83-01,-,Krestsobor@yandex.ru
52,"Санкт-Петербургская общественная культурная организация курдов ""Единство""",Региональная,2015-03-26,7810344002,1157800001468,"196066, Санкт-Петербург, ул. Алтайская, дом 16, кв.3","59.849664,30.327376",Московский,Московская,Худоев Мераб Давидович,8-906-266-65-72,-,Sifn@mail.ru
53,"Санкт-Петербургское культурно-просветительное общество ""Полония"" им. Адама Мицкевича",Региональная,1999-12-24,7825663178,1037858002852,"191014, Санкт-Петербург, пер. Саперный, дом 10, литера А, пом.9Н, литера В, пом.1Н","59.940857,30.357864",Центральный,Чернышевская,Бласик Чеслав Януш,275-47-52,-,Polonia@polonia.sp.ru
54,"Санкт-Петербургская региональная общественная организация ""Единый афганский центр""",Региональная,2000-07-17,7826727360,1027800014560,"190000, Санкт-Петербург, ул. Малая Морская, дом 14, офис А","59.934731,30.311143",Адмиралтейский,Адмиралтейская,Мохаммед Наим Голь Хазрат Голь,8-911-223-97-14,-,Naimgol2@rambler.ru
55,"Региональная общественная организация защиты прав и интересов афганского народа ""Афганская Диаспора Санкт-Петербурга""",Региональная,2013-10-09,7840290876,1137800008543,"191023, Санкт-Петербург, ул. Садовая, дом 28-30, корпус 49, пом.24Н","59.928424,30.330448",Центральный,Гостиный двор,Бахтияр Голь Мохаммад Наби,8-960-247-09-50,-,Afghanspb@mail.ru
56,"Санкт-Петербургское национально-культурное общество греков ""Петрополис""",Региональная,2012-10-24,7841290999,1127800012141,"191028, Санкт-Петербург, ул. Кирочная, дом 8, литера А, пом.56Н","59.94422,30.352789",Центральный,Чернышевская,Дросиди Алексей Георгиевич,8-981-789-20-06,732-47-24,Zemlemerr@inbox.ru
57,"Санкт-Петербургская общественная организация ""Центр немецкой культуры и примирения Ларисы Кнолл""",Региональная,1999-04-14,7825430078,1037858033070,"191186, Санкт-Петербург, ул. Малая Конюшенная, дом 1/3","59.938653,30.325768",Центральный,Невский проспект,Кнолль Лариса Игоревна,8-904-606-19-50,383-78-69,Knolarisa@yandex.ru
58,"Фонд ""Русско-Немецкий Центр Встреч при Петрикирхе Санкт-Петербурга""",-,1999-05-21,7825416370,1027809259830,"191186, Санкт-Петербург, пр. Невский, дом 22-24","59.935944,30.324097",Центральный,Невский проспект,Немкова Арина Александровна,312-13-46,570-40-95,Arina_nemkowa@drb.sp.ru
59,"Региональная общественная организация ""Китайское общество Санкт-Петербурга""",Региональная,2000-10-02,7826729576,1027810349588,"190068, Санкт-Петербург, ул. Садовая, дом 60, литера А, пом.7-Н","59.935651,30.335451",Адмиралтейский,Садовая,Чэнь Чжиган,324-03-51,312-71-01,Ruspb.info@mail.ru
60,"Региональная общественная организация ""Китайское землячество в Санкт-Петербурге""",Региональная,2014-08-05,7838291230,1147800004681,"190000, Санкт-Петербург, ул. Казанская, дом 33/5, кв. 41","59.929227,30.311718",Центральный,Садовая,Ли Сяосюй,320-48-50,-,Luyinsheng@chinarussiaspb.org
61,"Региональная общественная организация ""Ливанское землячество Санкт-Петербурга""",Региональная,2012-07-20,7816290427,1127800007488,"192236, Санкт-Петербург, ул. Софийская, дом 24, литера А, пом. 3Н","59.87631,30.401927",Фрунзенский,Международная,Саббах Жавад Мохамад Али,8921-595-38-53,-,Chfp@mail.ru
62,"Региональная общественная организация ""Санкт-Петербургский Дом национальных культур""",Региональная,1992-08-13,7801022930,1097800003784,"191028, Санкт-Петербург, ул. Моховая дом 15, литера А","59.944017,30.344911",Центральный,Чернышевская,Хамхоков Бислан Мугдинович,974-25-05,-,A_h_bislan@list.ru
63,"Региональная общественная организация ""Союз помощи в сохранении культурных национальных традиций, содействия укреплению семьи, защиты прав женщин и детей, вовлечения женщин в общественную и экономическую деятельность ""Женщины мира""",Региональная,2011-11-18,7841290396,1117800016190,"191028, Санкт-Петербург, ул. Моховая, дом 15, литера А","59.944017,30.344911",Центральный,Чернышевская,Хасанова Гулинор Хайбуллоевна,8-952-217-72-84,-,Zhenmir.spb@mail.ru
64,"Санкт-Петербургская Региональная общественная организация ""Русско-арабский культурный центр""",Региональная,2013-07-02,7814291295,1137800006057,"197183, Санкт-Петербург, пер. Шишмаревский, дом 6/40, литера А, пом.4Н","59.984719,30.28458",Приморский,Черная речка,Шеайто Муссаллам Мохамад,8-921-595-38-53,-,"Chfp@mail.ru, rakc7@mail.ru"
65,"Союз африканской диаспоры за правду и улучшение положения лиц африканского происхождения ""Инганзо Гакондо"" (""Карьер предков"")",Местная,2019-04-25,7841083880,1197800001629,"191025, город Санкт-Петербург, Невский проспект, дом 84/86 лит. Б, пом. 18-н","59.933839,30.350965",Центральный,Маяковская,Туликункико Франсуа Ксавье,8-929-135-20-30,-,Info@ingakondo.com
66,"Региональная общественная организация ""Египетско-арабский культурно-правовой центр""",Региональная,2017-11-09,7807186476,1177800005404,"198206, Санкт-Петербург, улица Пограничника Гарькавого, дом 6 корпус 1, квартира 13","59.842915,30.147703",Красносельский,Проспект Ветеранов,Сейид Ахмад Ахмад Мавад Ал-Саид,8-911-157-53-19,-,-
67,"Санкт-Петербургская Региональная общественная организация ""Вологодское землячество""",Региональная,2001-05-18,7825453082,1077800024906,"191123, Санкт-Петербург, ул. Шпалерная, дом 34","59.949163,30.356975",Центральный,Чернышевская,Некипелов Александр Андреевич,571-13-75,571-44-01,Volspb@gmail.com
68,"Региональная общественная организация ""Пермское землячество в Санкт-Петербурге""",Региональная,2015-05-06,7806168322,1157800002216,"195426, Санкт-Петербург, пр. Индустриальный, дом 22, литера А, пом.5Н","59.945684,30.475804",Красногвардейский,Ладожская,Меньшиков Григорий Геннадьевич,998-19-98,-,Perm-spb@yandex.ru
69,"Региональная общественная организация ""Санкт-Петербургское землячество Ненецкого автономного округа ""Нятва"" (""Дружба"")",Региональная,2011-02-07,7813205286,1117800000867,"197101, Санкт-Петербург, ул. Большая Монетная, дом 9, литера А, пом.2Н","59.960764,30.314925",Петроградский,Горьковская,Хатанзейский Константин Кимович,8-911-271-94-51,-,Hatanzkk@mail.ru
70,"Региональная общественная организация ""Ямальское землячество""",Региональная,2006-10-05,7814158840,1067800033400,"197375, Санкт-Петербург, ул. Новосельковская, дом 42, литера А","60.032906,30.282415",Приморский,Озерки,Давыдов Владимир Иванович,8-921-364-61-70,-,Bobr-58@mail.ru
71,"Санкт-Петербургская Региональная общественная организация по поддержке национальных и культурных традиций ""Карельское землячество в Санкт-Петербурге""",Региональная,2008-02-18,7805303152,1087800001211,"198207, Санкт-Петербург, Ленинский пр, дом 119, каб.4","59.851245,30.257343",Кировский,Ленинский проспект,Сухарев Вячеслав Иванович,8-921-437-91-90,758-53-00,Edem12@yandex.ru
72,"Межрегиональная общественная организация по поддержке культурных, этнических и народных традиций ""Карельское Содружество""",Межрегиональная,2015-02-09,7841018425,1157800000687,"191028, Санкт-Петербург, ул. Моховая, дом 15, оф.21","59.944017,30.344911",Центральный,Чернышевская,Довгалев Михаил Иванович,8-921-770-44-84,-,Mihail.dovgalev@yandex.ru
73,"Санкт-Петербургская Региональная общественная организация ""Иркутское землячество ""Ангара""",Региональная,2004-08-19,7805302310,1047831004517,"198188, Санкт-Петербург, ул. Васи Алексеева, дом 9, корпус 1, литера А","59.876983,30.269219",Кировский,Кировский завод,Сороквашин Андрей Михайлович,8-911-923-84-44,,Angara-2004@yandex.ru
74,"Региональная общественная организация объединения граждан (земляков) родившихся в г. Брянске и Брянской области ""Брянское землячество""",Региональная,2013-07-16,7814291320,1137800006585,"197374, Санкт-Петербург, ул. Яхтенная, дом 5, корпус 1, кв. 120","59.987956,30.216487",Приморский,Старая деревня,Снегирев Александр Николаевич,8-904-603-01-50,-,Info@spbbryanskzem.ru
75,"Межрегиональная общественная организация ""Брянское землячество в Санкт-Петербурге и Ленинградской области ""Пересвет""",Межрегиональная,2014-09-03,7820290476,1147800005341,"196605, Санкт-Петербург, г. Пушкин, шоссе Петербургское, дом 11, литера А","59.735156,30.39554",Пушкинский,Купчино,Каратуев Михаил Иванович,466-57-71,-,Vgamzov@ mail.ru
76,"Региональная общественная организация ""Санкт-Петербургское Тувинское землячество ""Аныяк Тыва""",Региональная,2009-07-28,7816240680,1097800004719,"192007, Санкт-Петербург, ул. Камчатская, дом 9, литера В","59.902492,30.352456",Фрунзенский,Волковская,Сыдан-Оол Роберт Мергенович,8-999-209-13-97,-,Anyiaktyva@mail.ru
77,"Региональная общественная организация ""Землячество народов Поволжья ""Идель""",Региональная,2015-02-18,7802270283,1157800000820,"194044, Санкт-Петербург, просп. Большой Сампсониевский, дом 7, литера А, пом. 1Н","59.960183,30.345809",Выборгский,Площадь Ленина,Дашкин Арифулла Абидуллович,8-911-841-86-00,-,-
78,"Санкт-Петербургская общественная организация ""Станица Усть-Ижорская""",Местная,2002-06-28,7817041511,1037858007076,"196641, Санкт-Петербург г, п.Металлострой, ул.Центральная, дом 22","59.811555,30.57734",Колпинский,Рыбацкое,Датеев Олег Павлович,8-921-758-32-66,-,Odnakos2006@rambler.ru
79,"Санкт-Петербургская региональная общественная организация ""Центр поддержки и развития узбекской культуры""",Региональная,2019-10-23,7805757935,1197800004797,"198216, город Санкт-Петербург, Ленинский проспект, дом 125 литер а, помещение 13н","59.851399,30.262742",Кировский,Ленинский проспект,Мамаджанов Незматжон,8-950-035-72-62,-,Nezmatzhon.1313@mail.ru
80,Региональная общественная организация Санкт-Петербургское этно-культурное общество развития караимской культуры и сохранения культуры этноса крымских караимов (караев),Региональная,2018-07-10,7841075529,1187800003379,"191028, Санкт-Петербург, ул. Моховая, дом 15, литера А","59.944017,30.344911",Центральный,Чернышевская,Катлама Юрий Борисович,8-921-953-35-51,-,-
81,Региональная общественная организация содействия становлению культурного единства граждан Крымско-татарское общество,Региональная,2018-06-18,7810732710,1187800002653,"196247, город Санкт-Петербург, Краснопутиловская улица, дом 50 корпус 2, квартира 100","59.857658,30.295602",Московский,Московская,Эсмедляев Радион Абдюльевич,8-911-118-61-11,-,Kto@fondml.ru
82,"Региональная общественная организация ""Сибирское землячество в Санкт-Петербурге""",Региональная,2018-07-24,7842157485,1187800003588,"191036, Санкт-Петербург, Полтавский проезд, дом 2, квартира 154","59.926278,30.366839",Центральный,Площадь Восстания,Мишова Виктория Викторовна,8-981-783-08-28,-,Siberiancommunuty@mail.ru
83,"Межрегиональная общественная организация ""Центр развития и поддержки казачества ""Санкт-Петербургская казачья община""",Межрегиональная,2017-04-10,7814687018,1177800001565,"197375, город Санкт-Петербург, Земский переулок, дом 7","60.024868,30.2912",Приморский,Удельная,Когут Владимир Иванович,8-921-324-72-68,-,Vladimirspb14@mail.ru
