Район,Наименование учреждения,Сокращенное наименование,Адрес,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 1)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 1,"196601, Санкт-Петербург, г.Павловск, ул. Конюшенная, д.16/13","Купчино, Московская",Меньшикова Валентина Анатольевна,465-14-90,465-14-90,Filial01@cbspushkin.spb.ru,"Пн-Пт с 12:00-19:00, Вс с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 2)",СПб ГБУ «ТЦБС Пушкинского района». Филиал № 2,"Санкт-Петербург, город Пушкин, Кадетский бульвар, дом 22а, литера А","Купчино, Московская",Иванова Наталья Леонидовна,465-45-02,465-45-02,Filial02@cbspushkin.spb.ru,"Пн-Пт с 12:00-19:00, Сб с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 3)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 3,"196605, Санкт-Петербург, г.Пушкин, ул. Шишкова, д.32/15","Купчино, Московская",Федоскина Елена Васильевна,465-00-58,465-00-58,Filial03@cbspushkin.spb.ru,"Пн-Пт с 12:00-19:00, Сб с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 4)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 4,"196603, Санкт-Петербург, г.Пушкин, Красносельское шоссе, д. 29","Купчино, Московская",Медведкова Наталья Викторовна,465-58-95,465-58-95,Filial04@cbspushkin.spb.ru,"Пн-Пт с 12:00-19:00, Вс с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 6)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 6,"Санкт-Петербург, город Павловск, улица Первого Мая, дом 6, литера А","Купчино, Московская",Тростина Ирина Николаевна,452-11-95,452-11-95,Filial06@cbspushkin.spb.ru,"Пн-Пт с 11:00-18:00, Cб с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 7)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 7,"Санкт-Петербург, посёлок Александровская, Волхонское шоссе, дом 33, литера А","Купчино, Московская",Бобина Анна Владимировна,451-36-10,None,Filial07@cbspushkin.spb.ru,"Вт-Пт с 11:00-18:00, Cб с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 8)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 8,"Санкт-Петербург, посёлок Тярлево, Новая улица, дом 1, литера А","Купчино, Московская",Граховская Лариса Викторовна,466-48-75,None,Filial08@cbspushkin.spb.ru,"Вт-Чт с 14:00-20:00, Пт c 12:00 -18:00, Сб с 13:00-19:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 9)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 9,"Санкт-Петербург, посёлок Шушары, Валдайская улица, дом 9, литера А","Купчино, Московская",Александровская Ольга Евгеньевна,417-40-51,None,Filial09@cbspushkin.spb.ru,"Вт-Пт с 12:00-19:00, Сб с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 10)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 10,"196607, Санкт-Петербург, г.Пушкин, ул. Ленинградская, д. 36","Купчино, Московская",Рухлова Татьяна Витальевна,470-52-32,470-52-32,Filial10@cbspushkin.spb.ru,"Пн-Пт с 12:00-19:00, Вс с 11:00-17:00, без обеда",7820026954,1027809012659,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" (Филиал № 11)",СПб ГБУ «ТЦБС Пушкинского района» Филиал № 11,"Санкт-Петербург, город Пушкин, Октябрьский бульвар, дом 24, литера А","Купчино, Московская",Быстрова Елена Михайловна,451-75-06,451-75-06,Filial11@cbspushkin.spb.ru,"Пн-Пт с 10:00-17:00, без обеда",7820026954,1027809012659,Временно не функционирует
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Александровский Дом культуры""",СПб ГБУ «Александровский ДК»,"Санкт-Петербург, посёлок Александровская, Волхонское шоссе, дом 52, литера А","Купчино, Московская",Трухин Анатолий Николаевич,476-98-21,476-98-21,Alexandrovskiy_dk@mail.ru,"Пн-Пт с 9:00-20:00, без обеда",7820013539,1027809012880,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Дом культуры ""Сувенир""","СПб ГБУ ""ДК ""Сувенир""","196605, Санкт-Петербург, г.Пушкин, Петербургское шоссе, д.11, пом.1Н, лит.А","Купчино, Московская",Кудимова Тамара Алексеевна,466-61-61,466-61-61,Dksuvenir@yandex.ru,"Пн-пт с 09:00-20:00, без обеда Сб с 11:00-19:00, без обеда",7820007905,1027809004277,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Музей ""Царскосельская коллекция""",СПБ ГБУ МЦК,"196607, Санкт-Петербург, г.Пушкин, ул.Магазейная 40/27","Купчино, Московская",Некрасов Александр Михайлович,466-04-60,466-04-60,Tsarsk_nekrasov@mail.ru,"Ср, пт, сб-вс с 11:00-17:00, без обеда Чт с 11:00-19:00, без обеда",7820018897,1027809012692,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Царскосельский камерный хор ""Петербургские серенады""","СПб ГБУ ""Камерный хор ""Петербургские серенады""","196601, Санкт-Петербург,, г.Пушкин, Средняя д.4/2 лит А","Купчино, Московская",Лютова Олеся Алексеевна,451-63-97,451-63-97,Bvi_spb@mail.ru,"Пн-Пт с 09:00 до 18:00, без обеда",7820019280,1027809010800,None
Пушкинский,"Санкт-Петербургское государственное бюджетное учреждение ""Территориальная централизованная библиотечная система Пушкинского района"" Библиотека «ЛИСТ» - филиал № 5","СПб ГБУ ""ТЦБС Пушкинского района библиотека ""ЛИСТ""","196627, г. Санкт-Петербург, внутригородское муниципальное образование Санкт-Петербурга пос. Шушары, Московское шоссе, д. 258, корпус 2, строение 1, помещение 49-Н","Шушары, Купчино, Звездная",Троян Светлана Павловна,339-75-17,None,Filial05@cbspushkin.spb.ru,"Пн-Пт с 11:00-19:00, Сб с 10:00-17:00, без обеда",7820026954,1027809012659,None
Василеостровский,"Санкт-Петербургское бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района""","СПб ГБУК ""ЦБС Васлеостровского района""","199226, Санкт-Петербург, Морская набережная д.17",Василеостровская,Калина Валерия Александровна,323-44-51,323-44-51,Dcbsvo@mail.ru,МО Морской,7801031500,1037800059560,Пн-пт 10-18
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района""","СПб ГБУК ""ЦБС Васлеостровского района"" Центральная районная библиотека им. М.В.Ломоносова","199406, Санкт-Петербург, улица Нахимова д.8/3",Приморская,Садриева Илсия Илдаровна,305-84-31,305-84-31,Cbscrb@yandex.ru,МО Гавань,,,"Пн-Чт 10-20, пт 13-20.00, суб 11-18, воскресенье выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Библиотека№1 им. Н.Г. Чернышевского)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Библиотека №1 им. Н.Г.Чернышевского)","199155, Санкт-Петербург, проспект КИМа д.4",Приморская,Гущина Татьяна Владимировна,350-12-00,,Lib1vo@mail.ru,МО Остров Декабристов,,,"Пн-пт 13-20, суб 11-18, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Библиотека ""На Морской"")","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Библиотека ""На Морской"")","199226, Санкт-Петербург, Морская набережная д.17",Приморская,Кудакаева Антонина Хафизовна,351-17-39,,Cbsvo8m@mail.ru,МО Морской,,,"Пн-пт. 12-19, суб 11-18, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Библиотека №2 им. Л.Н. Толстого)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Библиотека №2 им. Л.Н.Толстого)","199004, Санкт-Петербург, 6-я линия В.О. д.17",Василеостровская,Козловская Виктория Станиславовна,323-67-87,323-67-87,Bktolstogo@mail.ru,МО № 7,,,"Пн-пт 13-200, воскр. 11-18, суббота - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Юношеская библиотека №3 им. Н. Островского)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Юношеская библиотека №3 им. Н.Островского)","199178, Санкт-Петербург, 17-я линия В.О. д.14 лит.А",Василеостровская,Артемьева Ирина Михайловна,417-25-22,,Biblio-ostrov@mail.ru,МО № 7,,,"Пн-суб. 12-19, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Библиотека №4)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Библиотека №4)","199106, Санкт-Петербург, Средний проспект В.О. д.99/18",Василеостровская,Бурыкина Марина Алфеевна,355-80-09,,Cbsvo4@mail.ru,МО Гавань,,,"Пн-суб. 12-19, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Библиотека №5)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Библиотека №5)","199178, Санкт-Петербург, 16-я линия В.О. д.65",Василеостровская,Курмышова Ляйсан Фанилиевна,321-91-28,,Biblioteka5vospb@mail.ru,МО Васильевский,,,"Пн-суб. 12-19, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Центральная районная детская библиотека)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Центральная районная детская библиотека)","199178, Санкт-Петербург, 13-я линия В.О. д.20",Василеостровская,Пузырёва Наталия Юрьевна,323-73-58,,Zavcrdb-vocbs@mail.ru,МО № 7,,,"Пн-пт. 12-19, суб 11-18, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Детская библиотека №6)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Детская библиотека №6)","199155, Санкт-Петербург, переулок Каховского д.5 лит.Б",Приморская,Ибрагимова Ирина Александровна,350-78-48,,Biblioteka6.detvas@yandex.ru,МО Остров Декабристов,,,"Пн-суб. 11-18, воскресенье - выходной"
Василеостровский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Василеостровского района"" (филиал Детская библиотека №7)","СПб ГБУК ""ЦБС Васлеостровского района"" (филиал Детская библиотека №7)","199004, Санкт-Петербург, Средний проспект В.О. д.3/15",Спортивная,Лисанская Юлия Леонидовна,323-56-28,,Detskayabiblioteka7@mail.ru,МО Васильевский,,,"Пн-суб.11-18, воскресенье- выходной"
Адмиралтейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств им. Д.С.Бортнянского""","СПб ГБУ ДО ""СПб ДШИ им. Д.С.Бортнянского""","190005, Санкт-Петербург, Угловой пер., д. 4, литера А","Балтийская, Технологический институт",Семёнова Светлана Юрьевна,+7(812)316-44-91,+7(812)316-44-91,Mrav_semenova@inbox.ru,Измайловское,78260530480,1037851050214,
Адмиралтейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Санкт-Петербургская детская школа искусств им. Д.С. Бортнянского"" (м. Адмиралтейская)","СПб ГБУ ДО ""СПб ДШИ им. Д.С.Боортнянского""","190000, Санкт-Петербург, Большая Морская ул., д. 47, литера А",Адмиралтейская,Семёнова Светлана Юрьевна,+7(812)316-44-91,+7(812)316-44-91,Mrav_semenova@inbox.ru,Адмиралтейский округ,78260530480,1037851050214,
Выборгский,"Санкт-Петербургское государственное бюджетное учреждение ""Дом культуры ""Парголовский""","СПб ГБУ ""ДК ""Парголовский""","Санкт-Петербург, посёлок Парголово, Выборгское шоссе 411","Проспект Просвещения, Озерки",Аксёнова Элла Ивановна,+7(812)5948730,+7(812)5948730,dkpargolovo@mail.ru,поселок Парголово,7802340029,1057813045201,
Выборгский,"Санкт-Петербургское государственное бюджетное учреждение ""Дом культуры ""Левашовский""","СПб ГБУ ""ДК ""Левашовский""","Санкт-Петербург, посёлок Левашово, улица Володарского 9, литера А","Проспект Просвещения, Озерки",Карасёва Зинаида Ермолаевна,+7(812)5949510,+7(812)5949510,dklev@mail.ru,поселок Левашово,7802339545,1057813016580,
Выборгский,"Санкт-Петербургское государственное бюджетное учреждение ""Дом культуры ""Суздальский""","СПб ГБУ ""ДК ""Суздальский""","Санкт-Петербург, Суздальский проспект 3, корпус 1, литера А","Проспект Просвещения, Озерки",Лаптева Татьяна Николаевна,+7(812)5156689,+7(812)4969655,suzdalskiy@mail.ru,Шувалово-Озерки,7802092746,1027801555165,
Выборгский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Клуб ""Выборгская сторона""","СПб ГБУК ""Клуб ""Выборгская сторона""","Санкт-Петербург, улица Смолячкова 13, литера А",Выборгская,Лившиц Надежда Ивановна,+7(812)5424273,+7(812)5426453,club-vs@yandex.ru,Сампсониевское,7802020029,1027801576153,
Выборгский,Санкт-Петербургское государственное бюджетное учреждение «Централизованная библиотечная система  Выборгского района»,СПб ГБУ «ЦБС Выборгского района»,"Санкт-Петербург, проспект Энгельса 13/2, литера Л, помещение 7-Н","Лесная, Удельная, площадь Мужества, Пионерская, Черная речка",Панкова Раиса Николаевна,+7(812)5500201,+7(812)5500604,info@cbsvib.ru,Светлановское,7802207443,1037804023278,
Выборгский,Центральная районная библиотека «В Озерках»,ЦРБ «В Озерках»,"Санкт-Петербург, проспект Энгельса 111, корпус 1, литера А, помещение 11-Н",Озерки,Панкова Раиса Николаевна,+7(812)5940207,,pankova@cbsvib.ru,Сосновское,7802207443,1037804023278,
Выборгский,Центральная детская библиотека имени Н.А. Внукова,ЦДБ,"Санкт-Петербург, проспект Просвещения 36/141,  литера А, помещение 2-Н",Проспект Просвещения,Голубева Галина Александровна,+7(812)5162509,,spbcdb@cbsvib.ru,Сергиевское,7802207443,1037804023278,
Выборгский,Библиотека имени Д.С. Лихачева,Библиотека им.  Д.С. Лихачева,"Санкт-Петербург, проспект Тореза 32, литера А",Площадь Мужества,Марченко Татьяна Анатольевна,+7(812)5522882,,toreza@cbsvib.ru,Сосновское,7802207443,1037804023278,
Выборгский,Библиотека  «Батенинская»,Батенинская,"Санкт-Петербург, улица Харченко 17, литера А, помещение 3-Н",Лесная,Ивляева Галина Сергеевна,+7(812)2950318,,kharchenko@cbsvib.ru,Сапсониеское,7802207443,1037804023278,
Выборгский,Библиотека «Удельнинская»,Удельнинская,"Санкт-Петербург, проспект Энгельса 53, литера В, помещение 1-Н",Удельная,Иванова Лариса Валентиновна,+7(812)2931250,,engelsa53@cbsvib.ru,Светлановское,7802207443,1037804023278,
Выборгский,Библиотека  «СВОя»,СВОя,"Санкт-Петербург, улица Руднева 25, литера А, помещение1-Н","Проспект Просвещения, Гражданский проспект",Каправчук Елена Вячеславовна,+7(812)4975880,,rudneva@cbsvib.ru,№ 15,7802207443,1037804023278,
Выборгский,Библиотека «Парголовская»,Парголовская,"Санкт-Петербург, посёлок Парголово, Выборгское шоссе 369, корпус 3, литера А",Проспект Просвещения,Лукманова Ирина Яковлевна,+7(921)9822141,,pargolovo@cbsvib.ru,поселок Парголово,7802207443,1037804023278,
Выборгский,Библиотека «Левашовская»,Левашовская,"Санкт-Петербург, посёлок Левашово, улица Железнодорожная 46, литера А",Проспект Просвещения,Бережнова Людмила Анатольевна,+7(812)5949627,,levashovo@cbsvib.ru,поселок Левашово,7802207443,1037804023278,
Выборгский,Библиоцентр детского чтения,Библиоцентр детского чтения,"Санкт-Петербург, Скобелевский проспект 4, литера В, помещение 2-Н",Удельная,Таранкова Ирина Борисовна,+7(812)5540072,,skobelevsky@cbsvib.ru,Светлановское,7802207443,1037804023278,
Выборгский,Библиотечный культурно-досуговый центр «СТАРТ»,СТАРТ,"Санкт-Петербург, Елизаветинская улица 8/1, литера А",Озерки,Эдвардс Елизавета Вадимовна,+7(812)5541675,,start@cbsvib.ru,Шувалово-Озерки,7802207443,1037804023278,
Выборгский,Библиотека «Книга во времени»,Книга во времени,"Санкт-Петербург, проспект Пархоменко 18, литера А, помещение 1-Н, 2-Н","Лесная, Удельная, площадь Мужества, Пионерская",Овчинникова Евгения Вячеславовна,+7(812)2940996,,parkhomenko@cbsvib.ru,Светлановское,7802207443,1037804023278,
Выборгский,Библиотека-филиал №10,Библиотека-филиал №10,"Санкт-Петербург, проспект Художников 9, корпус 1, литера А, помещение 5-Н",Озерки,Головина Лидия Октавиановна,+7(812)5940195,,khudognikov@cbsvib.ru,Сосновское,7802207443,1037804023278,
Калининский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр Калининского района"" (Концертный зал)","СПб ГБУ ""Культурно-досуговый центр"" Концертный зал","195009, Санкт-Петербург, Арсенальная набережная, д. 13/1, литера А",Площадь Ленина,Рахина Елена Николаевна,417-48-76,542-37-32,Kz.fin@mail.ru.,Финляндский,7804024759,1027802484632,Закрыт на капитальный ремонт
Калининский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр Калининского района"" (Дом культуры ""Галактика"")","СПб ГБУ ""Культурно-досуговый центр"" структурное подразделение «Дом культуры «Галактика»","195273, Санкт-Петербург, ул. Руставели, д. 12, литера А",Академическая,Рахина Елена Николаевна,417-40-59,542-37-32,kdcgalaktika@mail.ru,Пискаревка,7804024759,1027802484632,
Калининский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр Калининского района"" (""Дом культуры ""Созвездие"")","СПб ГБУ ""Культурно-досуговый центр"" структурное подразделение «Дом культуры «Созвездие»","195221, Санкт-Петербург, Пискарёвский проспект, дом 10, литера А",Площадь Ленина,Рахина Елена Николаевна,417-64-45,542-37-32,kdc.sozvezdie@yandex.ru,Финляндский,7804024759,1027802484632,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Центральная районная библиотека им. В. Г. Белинского),СПб ГБУК «ЦБС Калининского района» Центральная районная библиотека им. В. Г. Белинского,"195257, Санкт-Петербург, Гражданский проспект, д. 83, корп. 1","Академическая, Гражданский проспект",Крылова Светлана Ильинична,242-38-50,242-38-50,vibelinskij@yandex.ru,Академический,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Центральная детская библиотека),СПб ГБУК «ЦБС Калининского района» Центральная детская библиотека,"195257, Санкт-Петербург, Гражданский проспект, д. 83, корп. 1","Академическая, Гражданский проспект",Крылова Светлана Ильинична,242-37-84,242-37-84,bookdet@yandex.ru,Академический,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 1),СПб ГБУК «ЦБС Калининского района» Библиотека - филиал № 1,"195221, Санкт-Петербург, Пискарёвский проспект, дом 10, литера А","Площадь Мужества, Выборгская, Площадь Ленина",Крылова Светлана Ильинична,246-41-60,,kalinfilial@yandex.ru,Финляндский,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 2),СПб ГБУК «ЦБС Калининского района» Библиотека - филиал № 2,"195197, Санкт-Петербург, Кондратьевский проспект, д. 51, корп. 1","Площадь Ленина, Выборгская",Крылова Светлана Ильинична,417-40-91,,vtoroj-cbskalinfil@yandex.ru,Финляндский,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 3),СПб ГБУК «ЦБС Калининского района» Библиотека - филиал № 3,"195271, Санкт-Петербург, Кондратьевский проспект, д. 83, корп. 1","Площадь Мужества, Выборгская, Политехническая",Крылова Светлана Ильинична,417-40-88,,filial_3@mail.ru,Финляндский,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 4),СПб ГБУК «ЦБС Калининского района» Библиотека - филиал № 4,"195269, Санкт-Петербург, Светлановский проспект, д. 62, корп. 1","Гражданский проспект, Академическая, Девяткино",Крылова Светлана Ильинична,242-32-74,242-32-74,f4svetlanovskij@yandex.ru,Прометей,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 5),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 5,"195273, Санкт-Петербург, проспект Непокорённых, д. 74","Площадь Мужества, Академическая, Политехническая",Крылова Светлана Ильинична,299-94-00,299-94-00,biblioteka-filial5@yandex. ru,Пискаревка,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 6),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 6,"195276, Санкт-Петербург, проспект Культуры, д. 21, корп. 1",Проспект Просвещения Гражданский проспект,Крылова Светлана Ильинична,558-96-21,,lebedevanatg@yandex.ru,Северный,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 7),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 7,"195220, Санкт-Петербург, проспект Непокорённых, дом 16, корпус 1, литера Ж","Площадь Мужества, Академическая, Политехническая",Крылова Светлана Ильинична,534-00-48,,klub.F7@yandex.ru,Гражданка,7804030181,1027802518358,
